s3 sinclair_n_corp_ut3 | self_destructive_purge | clash: 22.3~33.66 | dmg: 28~96, OL 5 | ceil: 33.67
s3 don_quixote_w_corp_ut3 | rip_space | clash: 5.51~30.62 | dmg: 5~95, OL 3 | ceil: 32.0
s3 hong_lu_tingtang_ut3 | mutilate | clash: 7.25~29.75 | dmg: 5~60, OL 3 | ceil: 31.0
s3 don_quixote_shi_ut3 | overbreathe | clash: 9.05~27.95 | dmg: 7~28, OL 3 | ceil: 29.0
s3 faust_l_corp_ut3 | opportunistic_slash | clash: 6.26~25.59 | dmg: 8~41, OL 2 | ceil: 26.67
s3 heathcliff_r_corp_ut3 | quick_suppression | clash: 8.0~24.75 | dmg: 20~80, OL 5 | ceil: 25.67
s3 sinclair_blade_ut3 | to_claim_their_bones | clash: 11.37~23.97 | dmg: 10~24, OL 2 | ceil: 24.67
s3 rodion_kurokumo_ut3 | sky_clearing_cut | clash: 8.47~22.87 | dmg: 7~23, OL 2 | ceil: 23.67
s3 ishmael_r_corp_ut3 | mind_whip | clash: 5.46~22.4 | dmg: 12~62, OL 1 | ceil: 23.33
s3 outis_g_corp_ut3 | focus | clash: 7.47~21.87 | dmg: 7~23, OL -1 | ceil: 22.67
s3 ishmael_boat_ut3 | risky_judgement | clash: 6.32~21.81 | dmg: 9~45, OL 5 | ceil: 22.67
s2 ishmael_liu_ut3 | frontal_assault | clash: 6.32~21.81 | dmg: 12~48, OL 2 | ceil: 22.67
s3 meursault_r_corp_ut3 | rhino_ram | clash: 7.37~20.28 | dmg: 18~48, OL 0 | ceil: 21.0
s3 ryoshu_seven_ut3 | swash | clash: 7.37~20.28 | dmg: 15~45, OL 3 | ceil: 21.0
s3 heathcliff_lcb_ut3 | upheaval | clash: 6.16~20.22 | dmg: 10~34, OL 0 | ceil: 21.0
s3 ishmael_l_corp_ut3 | corrosive_splash | clash: 5.8~20.2 | dmg: 6~22, OL -3 | ceil: 21.0
s3 outis_lcb_ut3 | piercing_thrust | clash: 7.37~19.97 | dmg: 6~20, OL 2 | ceil: 20.67
s3 don_quixote_lcb_ut3 | for_justice | clash: 6.71~19.62 | dmg: 15~45, OL 1 | ceil: 20.33
s2 sinclair_n_corp_ut3 | amoral_enactment | clash: 15.54~19.33 | dmg: 32~72, OL 4 | ceil: 19.33
s3 yi_sang_spicebush_ut3 | bloodsteeped_scent | clash: 8.77~19.09 | dmg: 18~42, OL 5 | ceil: 19.67
s3 heathcliff_sunshower_ut3 | spread_out | clash: 12.37~19.0 | dmg: 15~54, OL 3 | ceil: 19.0
s3 ishmael_liu_ut3 | inner_gate_elbow_strike | clash: 5.37~18.92 | dmg: 12~52, OL 2 | ceil: 19.67
s3 heathcliff_shi_ut3 | flashing_strike | clash: 8.2~18.75 | dmg: 14~32, OL 1 | ceil: 19.33
s3 sinclair_zwei_ut3 | strong_strike | clash: 6.98~18.68 | dmg: 7~20, OL -2 | ceil: 19.33
s2 hong_lu_tingtang_ut3 | shank | clash: 5.37~18.28 | dmg: 12~62, OL 3 | ceil: 19.0
s2 ryoshu_chef_ut3 | ingredient_hunt | clash: 5.37~18.28 | dmg: 9~39, OL 3 | ceil: 19.0
s2 heathcliff_r_corp_ut3 | concentrated_fire | clash: 7.94~18.1 | dmg: 20~50, OL 5 | ceil: 18.67
s3 ishmael_lcb_ut3 | shield_bash | clash: 7.27~18.07 | dmg: 7~19, OL -1 | ceil: 18.67
s3 hong_lu_k_corp_ut3 | excise_target | clash: 8.73~17.51 | dmg: 16~31, OL 0 | ceil: 18.0
s3 sinclair_mariachi_ut3 | pinata_party | clash: 7.55~17.45 | dmg: 8~19, OL -3 | ceil: 18.0
s3 rodion_rosespanner_ut3 | lets_rack_up_some_scores | clash: 7.1~17.43 | dmg: 15~39, OL 3 | ceil: 18.0
s2 ryoshu_seven_ut3 | upper_slash | clash: 6.6~17.4 | dmg: 5~17, OL 3 | ceil: 18.0
s2 gregor_g_corp_ut3 | dismember | clash: 8.17~17.17 | dmg: 6~16, OL 5 | ceil: 17.67
s2 ishmael_r_corp_ut3 | flaying_surge | clash: 7.83~16.83 | dmg: 7~17, OL 1 | ceil: 17.33
s2 heathcliff_shi_ut3 | flying_sword | clash: 7.83~16.83 | dmg: 7~17, OL 1 | ceil: 17.33
s3 hong_lu_lcb_ut3 | whirlwind | clash: 6.2~16.75 | dmg: 10~28, OL 1 | ceil: 17.33
s3 ryoshu_kurokumo_ut3 | lenticular_swirl | clash: 9.58~16.61 | dmg: 16~28, OL 3 | ceil: 17.0
s2 outis_seven_ut3 | field_command | clash: 7.73~16.51 | dmg: 10~25, OL 0 | ceil: 17.0
s2 don_quixote_w_corp_ut3 | leap | clash: 6.1~16.43 | dmg: 12~36, OL 3 | ceil: 17.0
s3 hong_lu_liu_ut3 | crimson_blaze_fist | clash: 5.87~16.41 | dmg: 10~28, OL 0 | ceil: 17.0
s3 sinclair_l_corp_ut3 | rupturing_talisman | clash: 5.87~16.41 | dmg: 10~28, OL 0 | ceil: 17.0
s2 don_quixote_shi_ut3 | dual_strike | clash: 5.87~16.41 | dmg: 8~26, OL 3 | ceil: 17.0
s2 faust_n_corp_ut3 | the_gripping | clash: 5.77~16.09 | dmg: 12~36, OL 2 | ceil: 16.67
s2 yi_sang_spicebush_ut3 | moments_floral_breeze | clash: 5.77~16.09 | dmg: 12~36, OL 2 | ceil: 16.67
s3 rodion_lccb_ut3 | suppress | clash: 8.91~15.94 | dmg: 14~26, OL 4 | ceil: 16.33
s3 outis_blade_ut3 | decisive_dive | clash: 8.91~15.94 | dmg: 16~28, OL 1 | ceil: 16.33
s2 don_quixote_lcb_ut3 | galloping_tilt | clash: 6.83~15.83 | dmg: 6~16, OL 1 | ceil: 16.33
s2 don_quixote_n_corp_ut3 | enactment | clash: 4.93~15.73 | dmg: 4~16, OL 1 | ceil: 16.33
s2 gregor_rosespanner_ut3 | grease_chains | clash: 4.93~15.73 | dmg: 4~16, OL 1 | ceil: 16.33
s3 yi_sang_seven_ut3 | moulinet | clash: 7.82~15.57 | dmg: 15~33, OL 0 | ceil: 16.0
s2 ishmael_boat_ut3 | explosive_blast | clash: 6.73~15.51 | dmg: 10~25, OL 3 | ceil: 16.0
s2 ryoshu_kurokumo_ut3 | clean_up | clash: 6.73~15.51 | dmg: 10~25, OL 3 | ceil: 16.0
s3 ryoshu_chef_ut3 | i_can_cook_anything | clash: 5.28~15.44 | dmg: 92~122, OL 3 | ceil: 16.0
s3 heathcliff_n_corp_ut3 | infirm_retribution | clash: 5.1~15.43 | dmg: 12~36, OL 0 | ceil: 16.0
s2 outis_g_corp_ut3 | onslaught_command | clash: 6.17~15.17 | dmg: 6~16, OL -1 | ceil: 15.67
s2 rodion_rosespanner_ut3 | vibration_compression | clash: 7.58~14.61 | dmg: 24~64, OL 3 | ceil: 15.0
s2 hong_lu_k_corp_ut3 | decay_blade | clash: 5.73~14.51 | dmg: 10~25, OL 0 | ceil: 15.0
s1 ishmael_liu_ut3 | red_kick | clash: 5.39~14.18 | dmg: 8~23, OL 2 | ceil: 14.67
s3 gregor_liu_ut3 | perfected_palm_strike | clash: 7.18~13.96 | dmg: 20~40, OL 4 | ceil: 14.33
s3 ishmael_shi_ut3 | catch_breath | clash: 6.91~13.94 | dmg: 12~24, OL 1 | ceil: 14.33
