s3 sinclair_n_corp_ut3 | self_destructive_purge | clash: 20.3~31.66 | dmg: 24~90 @ 5 | ceil: 31.67
s2 sinclair_n_corp_ut3 | amoral_enactment | clash: 13.54~17.33 | dmg: 24~64 @ 4 | ceil: 17.33
s3 heathcliff_sunshower_ut3 | spread_out | clash: 12.37~19.0 | dmg: 15~54 @ 3 | ceil: 19.0
s3 yi_sang_blade_ut3 | flank_thrust | clash: 10.27~12.86 | dmg: 24~30 @ 6 | ceil: 13.0
s3 ryoshu_kurokumo_ut3 | lenticular_swirl | clash: 9.58~16.61 | dmg: 16~28 @ 3 | ceil: 17.0
s3 rodion_lccb_ut3 | suppress | clash: 9.25~16.28 | dmg: 14~26 @ 5 | ceil: 16.67
s2 yi_sang_blade_ut3 | heel_turn | clash: 9.15~10.9 | dmg: 14~17 @ 6 | ceil: 11.0
s3 yi_sang_spicebush_ut3 | bloodsteeped_scent | clash: 8.77~19.09 | dmg: 18~42 @ 5 | ceil: 19.67
s3 sinclair_blade_ut3 | to_claim_their_bones | clash: 8.7~21.3 | dmg: 8~22 @ 0 | ceil: 22.0
s2 gregor_g_corp_ut3 | dismember | clash: 8.5~17.5 | dmg: 6~16 @ 6 | ceil: 18.0
s2 heathcliff_sunshower_ut3 | puddle_stomp | clash: 8.16~11.0 | dmg: 12~40 @ 3 | ceil: 11.0
s3 faust_n_corp_ut3 | execution | clash: 7.88~13.05 | dmg: 18~30 @ 4 | ceil: 13.33
s2 rodion_lccb_ut3 | thrust | clash: 7.81~9.57 | dmg: 12~15 @ 5 | ceil: 9.67
s3 rodion_kurokumo_ut3 | sky_clearing_cut | clash: 7.8~22.2 | dmg: 7~23 @ 0 | ceil: 23.0
s3 hong_lu_k_corp_ut3 | excise_target | clash: 7.73~16.51 | dmg: 16~31 @ -3 | ceil: 17.0
s3 outis_lcb_ut3 | piercing_thrust | clash: 7.7~20.3 | dmg: 6~20 @ 3 | ceil: 21.0
s3 outis_seven_ut3 | exploit_the_gap | clash: 7.55~12.71 | dmg: 18~30 @ -3 | ceil: 13.0
s3 meursault_n_corp_ut3 | annihilate_heretics | clash: 7.44~12.71 | dmg: 16~25 @ -3 | ceil: 13.0
s2 rodion_rosespanner_ut3 | vibration_compression | clash: 7.44~12.71 | dmg: 12~21 @ 3 | ceil: 13.0
s3 heathcliff_r_corp_ut3 | quick_suppression | clash: 7.34~24.08 | dmg: 15~75 @ 6 | ceil: 25.0
s1 yi_sang_blade_ut3 | strikers_stance | clash: 7.3~12.7 | dmg: 5~11 @ 6 | ceil: 13.0
s2 heathcliff_r_corp_ut3 | concentrated_fire | clash: 7.28~17.44 | dmg: 16~46 @ 6 | ceil: 18.0
s3 hong_lu_tingtang_ut3 | mutilate | clash: 7.25~29.75 | dmg: 5~30 @ 3 | ceil: 31.0
s1 outis_seven_ut3 | predictive_analysis | clash: 7.2~10.8 | dmg: 6~10 @ -3 | ceil: 11.0
s1 sinclair_n_corp_ut3 | coerced_judgement | clash: 7.1~8.99 | dmg: 10~16 @ 3 | ceil: 9.0
s3 rodion_rosespanner_ut3 | lets_rack_up_some_scores | clash: 7.1~17.43 | dmg: 15~39 @ 3 | ceil: 18.0
s3 ryoshu_seven_ut3 | swash | clash: 7.04~19.95 | dmg: 12~42 @ 5 | ceil: 20.67
