sinclair_n_corp_ut3 (adverse) | clash: 13.62~18.83 | dmg: 20.5~58.5, OL 4.0 | ceil: 31.67
heathcliff_sunshower_ut3 (adverse) | clash: 8.36~11.91 | dmg: 11.25~38.0, OL 2.75 | ceil: 19.0
heathcliff_r_corp_ut3 (adverse) | clash: 6.27~13.04 | dmg: 14.75~35.25, OL 5.0 | ceil: 14.67
ryoshu_chef_ut3 (adverse) | clash: 5.36~15.68 | dmg: 9.5~34.25, OL 3.0 | ceil: 19.0
yi_sang_spicebush_ut3 (adverse) | clash: 6.21~15.25 | dmg: 12.75~33.75, OL 3.0 | ceil: 19.67
ishmael_liu_ut3 (adverse) | clash: 5.39~14.42 | dmg: 11.0~32.75, OL 2.0 | ceil: 16.67
faust_n_corp_ut3 (adverse) | clash: 5.96~13.74 | dmg: 12.5~29.75, OL 2.0 | ceil: 16.67
hong_lu_tingtang_ut3 (adverse) | clash: 6.07~19.5 | dmg: 7.0~29.75, OL 3.0 | ceil: 31.0
don_quixote_w_corp_ut3 (adverse) | clash: 5.42~14.02 | dmg: 8.5~29.5, OL 3.0 | ceil: 17.0
meursault_r_corp_ut3 (adverse) | clash: 5.94~13.1 | dmg: 13.25~28.25, OL 0.0 | ceil: 15.0
ishmael_r_corp_ut3 (adverse) | clash: 5.55~16.48 | dmg: 6.5~27.75, OL 1.0 | ceil: 22.33
ishmael_lccb_ut3 (adverse) | clash: 4.37~11.28 | dmg: 11.0~26.5, OL -1.0 | ceil: 12.67
faust_l_corp_ut3 (adverse) | clash: 5.19~13.93 | dmg: 8.75~25.25, OL 2.0 | ceil: 20.67
rodion_rosespanner_ut3 (adverse) | clash: 6.63~10.53 | dmg: 11.75~24.5, OL 3.0 | ceil: 18.0
sinclair_l_corp_ut3 (adverse) | clash: 5.19~12.83 | dmg: 9.75~24.5, OL 0.0 | ceil: 17.0
meursault_w_corp_ut3 (adverse) | clash: 5.46~10.23 | dmg: 13.75~23.75, OL 0.0 | ceil: 11.0
gregor_liu_ut3 (adverse) | clash: 6.26~10.12 | dmg: 13.5~23.0, OL 4.0 | ceil: 13.33
rodion_n_corp_ut3 (adverse) | clash: 5.92~11.13 | dmg: 11.5~22.5, OL 2.0 | ceil: 12.67
outis_seven_ut3 (adverse) | clash: 8.05~14.63 | dmg: 11.0~22.5, OL 0.0 | ceil: 17.0
meursault_rosespanner_ut3 (adverse) | clash: 5.41~11.97 | dmg: 10.0~22.5, OL 1.0 | ceil: 13.33
ryoshu_kurokumo_ut3 (adverse) | clash: 7.33~14.83 | dmg: 10.25~22.25, OL 3.0 | ceil: 17.0
hong_lu_k_corp_ut3 (adverse) | clash: 6.33~13.83 | dmg: 10.25~22.25, OL 0.0 | ceil: 16.0
meursault_liu_ut3 (adverse) | clash: 5.83~11.28 | dmg: 11.25~21.75, OL 1.0 | ceil: 14.33
don_quixote_shi_ut3 (adverse) | clash: 5.77~17.12 | dmg: 6.0~21.75, OL 3.0 | ceil: 26.0
ishmael_shi_ut3 (adverse) | clash: 5.66~12.69 | dmg: 9.5~21.5, OL 1.0 | ceil: 14.33
sinclair_lcb_ut3 (adverse) | clash: 5.17~10.61 | dmg: 10.5~21.25, OL 2.0 | ceil: 11.67
hong_lu_kurokumo_ut3 (adverse) | clash: 5.22~8.09 | dmg: 10.5~21.25, OL 0.0 | ceil: 12.0
gregor_g_corp_ut3 (adverse) | clash: 7.24~14.75 | dmg: 9.0~21.25, OL 5.0 | ceil: 17.67
faust_w_corp_ut3 (adverse) | clash: 5.17~11.32 | dmg: 10.5~21.0, OL -1.0 | ceil: 12.67
ryoshu_seven_ut3 (adverse) | clash: 5.72~15.7 | dmg: 6.0~21.0, OL 3.0 | ceil: 20.0
sinclair_blade_ut3 (adverse) | clash: 7.27~12.15 | dmg: 13.5~20.75, OL 2.0 | ceil: 22.67
heathcliff_lcb_ut3 (adverse) | clash: 4.67~13.27 | dmg: 7.0~20.75, OL 0.0 | ceil: 20.0
hong_lu_liu_ut3 (adverse) | clash: 5.51~11.66 | dmg: 10.0~20.5, OL 0.0 | ceil: 17.0
heathcliff_n_corp_ut3 (adverse) | clash: 5.37~13.31 | dmg: 7.5~20.5, OL 0.0 | ceil: 16.0
outis_lcb_ut3 (adverse) | clash: 5.52~13.47 | dmg: 7.75~20.25, OL 2.0 | ceil: 20.67
meursault_n_corp_ut3 (adverse) | clash: 6.61~11.01 | dmg: 12.5~20.0, OL 0.0 | ceil: 14.0
don_quixote_n_corp_ut3 (adverse) | clash: 4.73~13.83 | dmg: 6.5~20.0, OL 1.0 | ceil: 16.33
gregor_rosespanner_ut3 (adverse) | clash: 4.73~13.83 | dmg: 6.5~20.0, OL 1.0 | ceil: 16.33
outis_blade_ut3 (adverse) | clash: 5.84~12.47 | dmg: 9.0~19.5, OL 1.0 | ceil: 14.33
rodion_lcb_ut3 (adverse) | clash: 3.84~10.62 | dmg: 6.75~19.5, OL 0.0 | ceil: 12.0
rodion_zwei_ut3 (adverse) | clash: 4.94~8.87 | dmg: 11.75~19.25, OL -2.0 | ceil: 10.33
ryoshu_lcb_ut3 (adverse) | clash: 5.18~11.56 | dmg: 8.5~19.25, OL 2.0 | ceil: 12.67
rodion_kurokumo_ut3 (adverse) | clash: 7.16~14.75 | dmg: 9.0~19.0, OL 2.0 | ceil: 23.67
ishmael_l_corp_ut3 (adverse) | clash: 4.57~13.03 | dmg: 7.5~19.0, OL -3.0 | ceil: 21.0
yi_sang_blade_ut3 (adverse) | clash: 8.63~11.51 | dmg: 14.25~18.75, OL 5.0 | ceil: 12.67
sinclair_mariachi_ut3 (adverse) | clash: 4.85~9.49 | dmg: 11.5~18.75, OL -3.0 | ceil: 18.0
yi_sang_seven_ut3 (adverse) | clash: 5.18~10.22 | dmg: 9.75~18.75, OL 0.0 | ceil: 14.0
yi_sang_lcb_ut3 (adverse) | clash: 4.7~10.43 | dmg: 9.25~18.5, OL 0.0 | ceil: 12.0
gregor_chef_ut3 (adverse) | clash: 6.05~11.37 | dmg: 10.0~18.0, OL 1.25 | ceil: 14.0
hong_lu_lcb_ut3 (adverse) | clash: 4.86~11.7 | dmg: 7.25~18.0, OL 1.0 | ceil: 13.33
faust_lcb_ut3 (adverse) | clash: 4.03~10.0 | dmg: 7.75~17.0, OL -2.0 | ceil: 11.33
meursault_lcb_ut3 (adverse) | clash: 3.45~9.66 | dmg: 7.5~17.0, OL -3.0 | ceil: 12.0
heathcliff_shi_ut3 (adverse) | clash: 5.63~14.11 | dmg: 6.0~17.0, OL 1.0 | ceil: 17.33
don_quixote_lcb_ut3 (adverse) | clash: 4.38~12.39 | dmg: 5.0~16.25, OL 1.0 | ceil: 14.33
outis_g_corp_ut3 (adverse) | clash: 5.19~14.64 | dmg: 5.0~15.5, OL -1.0 | ceil: 21.67
rodion_lccb_ut3 (adverse) | clash: 7.3~10.41 | dmg: 10.5~15.0, OL 4.0 | ceil: 12.33
sinclair_zwei_ut3 (adverse) | clash: 5.39~10.55 | dmg: 8.75~15.0, OL -2.0 | ceil: 19.33
gregor_lcb_ut3 (adverse) | clash: 4.15~11.98 | dmg: 5.25~15.0, OL -1.0 | ceil: 13.67
ishmael_lcb_ut3 (adverse) | clash: 5.1~12.98 | dmg: 5.0~13.75, OL -1.0 | ceil: 18.67
