don_quixote_w_corp_ut3 s3 | rip_space | clash: 5.51~30.62 | dmg: 5~95 @ 3 | ceil: 32.0
sinclair_n_corp_ut3 s3 | self_destructive_purge | clash: 20.3~31.66 | dmg: 24~90 @ 5 | ceil: 31.67
heathcliff_r_corp_ut3 s3 | quick_suppression | clash: 7.34~24.08 | dmg: 15~75 @ 6 | ceil: 25.0
sinclair_n_corp_ut3 s2 | amoral_enactment | clash: 13.54~17.33 | dmg: 24~64 @ 4 | ceil: 17.33
hong_lu_kurokumo_ut3 s2 | cloud_cutter | clash: 4.58~11.61 | dmg: 20~60 @ -3 | ceil: 12.0
ishmael_r_corp_ut3 s3 | mind_whip | clash: 3.13~20.06 | dmg: 8~58 @ -3 | ceil: 21.0
heathcliff_sunshower_ut3 s3 | spread_out | clash: 12.37~19.0 | dmg: 15~54 @ 3 | ceil: 19.0
heathcliff_r_corp_ut3 s2 | concentrated_fire | clash: 7.28~17.44 | dmg: 16~46 @ 6 | ceil: 18.0
yi_sang_spicebush_ut3 s3 | bloodsteeped_scent | clash: 8.77~19.09 | dmg: 18~42 @ 5 | ceil: 19.67
ryoshu_seven_ut3 s3 | swash | clash: 7.04~19.95 | dmg: 12~42 @ 5 | ceil: 20.67
ishmael_liu_ut3 s2 | frontal_assault | clash: 5.37~18.28 | dmg: 12~42 @ 0 | ceil: 19.0
ryoshu_chef_ut3 s3 | i_can_cook_anything | clash: 5.28~15.44 | dmg: 12~42 @ 3 | ceil: 16.0
ishmael_liu_ut3 s3 | inner_gate_elbow_strike | clash: 4.28~14.44 | dmg: 12~42 @ 0 | ceil: 15.0
faust_l_corp_ut3 s3 | opportunistic_slash | clash: 6.26~25.59 | dmg: 8~41 @ 2 | ceil: 26.67
heathcliff_sunshower_ut3 s2 | puddle_stomp | clash: 8.16~11.0 | dmg: 12~40 @ 3 | ceil: 11.0
rodion_rosespanner_ut3 s3 | lets_rack_up_some_scores | clash: 7.1~17.43 | dmg: 15~39 @ 3 | ceil: 18.0
hong_lu_tingtang_ut3 s2 | shank | clash: 5.37~18.28 | dmg: 9~39 @ 3 | ceil: 19.0
ryoshu_chef_ut3 s2 | ingredient_hunt | clash: 5.37~18.28 | dmg: 9~39 @ 3 | ceil: 19.0
meursault_r_corp_ut3 s3 | rhino_ram | clash: 5.82~13.57 | dmg: 18~36 @ -3 | ceil: 14.0
gregor_g_corp_ut3 s3 | eviscerate | clash: 6.85~13.63 | dmg: 16~36 @ 6 | ceil: 14.0
gregor_liu_ut3 s3 | perfected_palm_strike | clash: 6.52~13.29 | dmg: 16~36 @ 5 | ceil: 13.67
rodion_n_corp_ut3 s3 | ironclad_retribution | clash: 5.52~12.29 | dmg: 16~36 @ 2 | ceil: 12.67
meursault_rosespanner_ut3 s3 | finishing_runup | clash: 4.18~10.96 | dmg: 16~36 @ -2 | ceil: 11.33
ishmael_lccb_ut3 s3 | suppress | clash: 2.85~9.63 | dmg: 16~36 @ -6 | ceil: 10.0
faust_n_corp_ut3 s2 | the_gripping | clash: 6.43~16.76 | dmg: 12~36 @ 4 | ceil: 17.33
don_quixote_w_corp_ut3 s2 | leap | clash: 6.1~16.43 | dmg: 12~36 @ 3 | ceil: 17.0
yi_sang_spicebush_ut3 s2 | moments_floral_breeze | clash: 5.77~16.09 | dmg: 12~36 @ 2 | ceil: 16.67
heathcliff_n_corp_ut3 s3 | infirm_retribution | clash: 4.43~14.76 | dmg: 12~36 @ -2 | ceil: 15.33
meursault_liu_ut3 s3 | perfected_death_fist | clash: 5.49~13.24 | dmg: 15~33 @ -1 | ceil: 13.67
meursault_r_corp_ut3 s2 | demolish | clash: 4.82~12.57 | dmg: 15~33 @ -3 | ceil: 13.0
yi_sang_seven_ut3 s3 | moulinet | clash: 4.82~12.57 | dmg: 15~33 @ -3 | ceil: 13.0
hong_lu_k_corp_ut3 s3 | excise_target | clash: 7.73~16.51 | dmg: 16~31 @ -3 | ceil: 17.0
yi_sang_blade_ut3 s3 | flank_thrust | clash: 10.27~12.86 | dmg: 24~30 @ 6 | ceil: 13.0
gregor_chef_ut3 s3 | butcher_viand | clash: 6.09~9.48 | dmg: 20~30 @ 2 | ceil: 9.67
meursault_w_corp_ut3 s3 | energy_current | clash: 3.76~7.15 | dmg: 20~30 @ -5 | ceil: 7.33
faust_n_corp_ut3 s3 | execution | clash: 7.88~13.05 | dmg: 18~30 @ 4 | ceil: 13.33
