sinclair_n_corp_ut3 (prime) | clash: 13.56~17.66 | dmg: 22.33~50.0, OL 4.0 | ceil: 33.67
heathcliff_r_corp_ut3 (prime) | clash: 7.59~16.35 | dmg: 17.5~43.5, OL 5.0 | ceil: 25.67
ryoshu_chef_ut3 (prime) | clash: 5.39~14.02 | dmg: 22.33~41.83, OL 3.0 | ceil: 19.0
rodion_rosespanner_ut3 (prime) | clash: 6.43~13.13 | dmg: 14.5~36.33, OL 3.0 | ceil: 18.0
ishmael_liu_ut3 (prime) | clash: 5.7~17.51 | dmg: 10.0~36.17, OL 2.0 | ceil: 22.67
hong_lu_tingtang_ut3 (prime) | clash: 6.15~16.9 | dmg: 7.33~36.17, OL 3.0 | ceil: 31.0
heathcliff_sunshower_ut3 (prime) | clash: 7.83~10.83 | dmg: 11.5~34.0, OL 2.5 | ceil: 19.0
don_quixote_w_corp_ut3 (prime) | clash: 6.1~16.43 | dmg: 7.33~33.33, OL 3.0 | ceil: 32.0
ishmael_shi_ut3 (prime) | clash: 5.45~14.66 | dmg: 11.67~33.0, OL 1.0 | ceil: 21.33
hong_lu_kurokumo_ut3 (prime) | clash: 5.13~11.48 | dmg: 11.67~30.5, OL 0.0 | ceil: 13.0
yi_sang_spicebush_ut3 (prime) | clash: 5.82~13.57 | dmg: 11.5~29.5, OL 3.5 | ceil: 19.67
ishmael_r_corp_ut3 (prime) | clash: 6.05~16.27 | dmg: 8.33~27.5, OL 1.0 | ceil: 23.33
faust_n_corp_ut3 (prime) | clash: 6.34~13.28 | dmg: 11.0~25.5, OL 4.0 | ceil: 17.33
ishmael_boat_ut3 (prime) | clash: 6.06~14.79 | dmg: 8.83~25.33, OL 3.33 | ceil: 22.67
meursault_r_corp_ut3 (prime) | clash: 6.32~13.75 | dmg: 11.0~25.0, OL 0.0 | ceil: 21.0
don_quixote_cinq_ut3 (prime) | clash: 7.73~16.51 | dmg: 9.33~24.33, OL 4.0 | ceil: 24.33
sinclair_boat_ut3 (prime) | clash: 4.1~12.85 | dmg: 6.67~23.67, OL 1.0 | ceil: 16.33
gregor_liu_ut3 (prime) | clash: 7.38~11.13 | dmg: 14.33~22.67, OL 5.0 | ceil: 14.67
sinclair_blade_ut3 (prime) | clash: 8.78~12.62 | dmg: 16.67~22.5, OL 2.0 | ceil: 24.67
faust_l_corp_ut3 (prime) | clash: 5.19~13.69 | dmg: 6.83~21.33, OL 3.0 | ceil: 27.0
rodion_n_corp_ut3 (prime) | clash: 5.7~11.51 | dmg: 9.67~21.0, OL 3.0 | ceil: 13.0
ishmael_lccb_ut3 (prime) | clash: 4.23~10.64 | dmg: 8.67~21.0, OL -1.0 | ceil: 12.67
meursault_liu_ut3 (prime) | clash: 5.19~11.17 | dmg: 9.5~20.5, OL 1.0 | ceil: 14.33
outis_lcb_ut3 (prime) | clash: 5.42~12.44 | dmg: 8.17~20.5, OL 3.0 | ceil: 21.0
gregor_g_corp_ut3 (prime) | clash: 6.86~13.62 | dmg: 8.67~19.83, OL 5.0 | ceil: 17.67
hong_lu_liu_ut3 (prime) | clash: 4.87~11.31 | dmg: 8.67~19.67, OL 0.0 | ceil: 17.0
sinclair_l_corp_ut3 (prime) | clash: 5.21~11.8 | dmg: 8.17~19.67, OL 0.0 | ceil: 17.0
heathcliff_n_corp_ut3 (prime) | clash: 4.77~12.41 | dmg: 7.0~19.67, OL 0.0 | ceil: 16.0
meursault_w_corp_ut3 (prime) | clash: 5.4~10.39 | dmg: 10.83~19.5, OL 0.0 | ceil: 11.0
sinclair_lcb_ut3 (prime) | clash: 6.12~11.85 | dmg: 10.0~19.5, OL 3.0 | ceil: 13.0
don_quixote_n_corp_ut3 (prime) | clash: 4.46~12.87 | dmg: 6.33~19.33, OL 1.0 | ceil: 16.33
gregor_rosespanner_ut3 (prime) | clash: 4.46~12.87 | dmg: 6.33~19.33, OL 1.0 | ceil: 16.33
hong_lu_k_corp_ut3 (prime) | clash: 6.01~13.11 | dmg: 8.5~19.0, OL 0.0 | ceil: 18.0
heathcliff_lcb_ut3 (prime) | clash: 5.56~13.4 | dmg: 7.5~19.0, OL 0.0 | ceil: 21.0
don_quixote_lcb_ut3 (prime) | clash: 6.57~14.87 | dmg: 7.0~18.83, OL 2.0 | ceil: 20.67
ryoshu_seven_ut3 (prime) | clash: 7.25~15.7 | dmg: 6.67~18.67, OL 5.0 | ceil: 21.67
rodion_zwei_ut3 (prime) | clash: 4.55~8.77 | dmg: 10.5~18.5, OL -2.0 | ceil: 13.33
ryoshu_kurokumo_ut3 (prime) | clash: 6.99~13.79 | dmg: 8.5~18.5, OL 3.0 | ceil: 17.0
