sinclair_n_corp_ut4 (expected) | clash: 13.62~18.83 | dmg: 20.5~58.5, OL 4.0 | ceil: 31.67
don_quixote_w_corp_ut4 (expected) | clash: 6.16~20.7 | dmg: 8.5~48.0, OL 3.0 | ceil: 32.0
heathcliff_r_corp_ut4 (expected) | clash: 6.78~17.33 | dmg: 14.75~47.75, OL 5.0 | ceil: 24.67
heathcliff_sunshower_ut4 (expected) | clash: 9.86~13.41 | dmg: 16.25~44.0, OL 2.75 | ceil: 19.0
rodion_rosespanner_ut4 (expected) | clash: 6.85~13.39 | dmg: 17.75~41.0, OL 3.0 | ceil: 18.0
hong_lu_kurokumo_ut4 (expected) | clash: 5.77~12.15 | dmg: 16.25~41.0, OL 0.0 | ceil: 13.0
ishmael_liu_ut4 (expected) | clash: 5.74~18.22 | dmg: 11.0~40.25, OL 2.0 | ceil: 22.67
ryoshu_chef_ut4 (expected) | clash: 5.36~15.68 | dmg: 9.5~34.25, OL 3.0 | ceil: 19.0
yi_sang_spicebush_ut4 (expected) | clash: 6.21~15.25 | dmg: 12.75~33.75, OL 3.0 | ceil: 19.67
meursault_w_corp_ut4 (expected) | clash: 5.81~13.57 | dmg: 13.75~31.75, OL 0.0 | ceil: 17.0
ishmael_r_corp_ut4 (expected) | clash: 5.95~18.63 | dmg: 7.0~31.75, OL 1.0 | ceil: 26.33
hong_lu_tingtang_ut4 (expected) | clash: 6.1~19.98 | dmg: 7.0~30.25, OL 3.0 | ceil: 31.0
gregor_liu_ut4 (expected) | clash: 6.57~13.45 | dmg: 13.5~29.75, OL 4.0 | ceil: 15.33
faust_n_corp_ut4 (expected) | clash: 5.96~13.74 | dmg: 12.5~29.75, OL 2.0 | ceil: 16.67
faust_l_corp_ut4 (expected) | clash: 5.83~16.33 | dmg: 10.25~29.5, OL 2.0 | ceil: 26.67
meursault_r_corp_ut4 (expected) | clash: 5.19~12.35 | dmg: 13.5~28.5, OL -3.0 | ceil: 14.0
ishmael_lccb_ut4 (expected) | clash: 4.37~11.28 | dmg: 11.0~26.5, OL -1.0 | ceil: 12.67
yi_sang_blade_ut4 (expected) | clash: 9.19~15.56 | dmg: 14.5~25.5, OL 5.0 | ceil: 18.67
sinclair_blade_ut4 (expected) | clash: 7.49~15.0 | dmg: 13.5~25.5, OL 2.0 | ceil: 26.67
hong_lu_k_corp_ut4 (expected) | clash: 6.91~15.28 | dmg: 11.25~24.75, OL 0.0 | ceil: 20.0
sinclair_l_corp_ut4 (expected) | clash: 5.19~12.83 | dmg: 9.75~24.5, OL 0.0 | ceil: 17.0
don_quixote_cinq_ut4 (expected) | clash: 6.27~14.62 | dmg: 10.0~24.25, OL 1.75 | ceil: 18.33
hong_lu_liu_ut4 (expected) | clash: 5.69~14.04 | dmg: 10.0~24.25, OL 0.0 | ceil: 19.0
faust_w_corp_ut4 (expected) | clash: 6.26~13.51 | dmg: 11.5~24.0, OL -1.0 | ceil: 16.67
sinclair_lcb_ut4 (expected) | clash: 5.49~11.58 | dmg: 10.75~23.0, OL 2.0 | ceil: 14.67
ishmael_shi_ut4 (expected) | clash: 5.74~13.64 | dmg: 9.5~23.0, OL 1.0 | ceil: 18.33
meursault_liu_ut4 (expected) | clash: 6.33~11.78 | dmg: 12.25~22.75, OL 1.0 | ceil: 14.33
rodion_n_corp_ut4 (expected) | clash: 5.92~11.13 | dmg: 11.5~22.5, OL 2.0 | ceil: 12.67
outis_seven_ut4 (expected) | clash: 8.05~14.63 | dmg: 11.0~22.5, OL 0.0 | ceil: 17.0
meursault_rosespanner_ut4 (expected) | clash: 5.41~11.97 | dmg: 10.0~22.5, OL 1.0 | ceil: 13.33
ryoshu_lcb_ut4 (expected) | clash: 5.57~13.48 | dmg: 8.75~22.5, OL 2.0 | ceil: 14.67
ryoshu_seven_ut4 (expected) | clash: 5.79~17.12 | dmg: 6.0~22.5, OL 3.0 | ceil: 20.0
rodion_zwei_ut4 (expected) | clash: 5.08~10.77 | dmg: 11.75~22.25, OL -2.0 | ceil: 13.33
ryoshu_kurokumo_ut4 (expected) | clash: 7.33~14.83 | dmg: 10.25~22.25, OL 3.0 | ceil: 17.0
yi_sang_seven_ut4 (expected) | clash: 5.58~12.61 | dmg: 10.0~22.25, OL 0.0 | ceil: 14.0
don_quixote_shi_ut4 (expected) | clash: 5.79~17.36 | dmg: 6.0~22.0, OL 3.0 | ceil: 26.0
rodion_lcb_ut4 (expected) | clash: 4.59~11.37 | dmg: 9.0~21.75, OL 0.0 | ceil: 12.0
hong_lu_lcb_ut4 (expected) | clash: 5.5~14.11 | dmg: 8.0~21.75, OL 1.0 | ceil: 18.33
outis_lcb_ut4 (expected) | clash: 6.27~14.22 | dmg: 9.0~21.5, OL 2.0 | ceil: 21.67
gregor_g_corp_ut4 (expected) | clash: 7.24~14.75 | dmg: 9.0~21.25, OL 5.0 | ceil: 17.67
meursault_lcb_ut4 (expected) | clash: 4.33~11.83 | dmg: 8.5~21.0, OL -3.0 | ceil: 14.0
don_quixote_n_corp_ut4 (expected) | clash: 4.98~14.08 | dmg: 7.25~20.75, OL 1.0 | ceil: 16.33
heathcliff_n_corp_ut4 (expected) | clash: 5.37~13.31 | dmg: 7.5~20.5, OL 0.0 | ceil: 16.0
yi_sang_lcb_ut4 (expected) | clash: 5.02~11.4 | dmg: 9.5~20.25, OL 0.0 | ceil: 12.0
rodion_kurokumo_ut4 (expected) | clash: 7.18~15.22 | dmg: 9.0~20.25, OL 2.0 | ceil: 25.67
meursault_n_corp_ut4 (expected) | clash: 6.61~11.01 | dmg: 12.5~20.0, OL 0.0 | ceil: 14.0
gregor_rosespanner_ut4 (expected) | clash: 4.73~13.83 | dmg: 6.5~20.0, OL 1.0 | ceil: 16.33
outis_blade_ut4 (expected) | clash: 5.84~12.47 | dmg: 9.0~19.5, OL 1.0 | ceil: 14.33
ishmael_l_corp_ut4 (expected) | clash: 4.57~13.03 | dmg: 7.5~19.0, OL -3.0 | ceil: 21.0
heathcliff_lcb_ut4 (expected) | clash: 3.68~11.4 | dmg: 6.75~19.0, OL -2.0 | ceil: 15.33
sinclair_mariachi_ut4 (expected) | clash: 4.85~9.49 | dmg: 11.5~18.75, OL -3.0 | ceil: 18.0
faust_lcb_ut4 (expected) | clash: 5.03~11.0 | dmg: 9.5~18.75, OL -2.0 | ceil: 12.33
gregor_chef_ut4 (expected) | clash: 6.05~11.37 | dmg: 10.0~18.0, OL 1.25 | ceil: 14.0
rodion_lccb_ut4 (expected) | clash: 7.66~12.09 | dmg: 10.75~17.5, OL 4.0 | ceil: 18.33
don_quixote_lcb_ut4 (expected) | clash: 4.68~13.59 | dmg: 5.25~17.5, OL 1.0 | ceil: 16.33
heathcliff_shi_ut4 (expected) | clash: 5.63~14.11 | dmg: 6.0~17.0, OL 1.0 | ceil: 17.33
sinclair_zwei_ut4 (expected) | clash: 5.47~11.5 | dmg: 8.75~16.5, OL -2.0 | ceil: 19.33
gregor_lcb_ut4 (expected) | clash: 5.15~12.98 | dmg: 6.5~16.25, OL -1.0 | ceil: 14.67
outis_g_corp_ut4 (expected) | clash: 5.19~14.64 | dmg: 5.0~15.5, OL -1.0 | ceil: 21.67
ishmael_lcb_ut4 (expected) | clash: 6.13~14.45 | dmg: 6.0~15.25, OL -1.0 | ceil: 19.67
