hong_lu_tingtang_ut4 (adverse) | clash: 6.2~17.85 | dmg: 6.33~24.5, OL 3.0 | ceil: 31.0
ishmael_r_corp_ut4 (adverse) | clash: 5.65~17.04 | dmg: 7.33~28.83, OL 1.0 | ceil: 26.33
ryoshu_seven_ut4 (adverse) | clash: 6.33~16.28 | dmg: 5.33~19.0, OL 5.0 | ceil: 20.67
sinclair_n_corp_ut4 (adverse) | clash: 11.45~15.55 | dmg: 17.0~44.33, OL 3.67 | ceil: 31.67
don_quixote_shi_ut4 (adverse) | clash: 5.64~15.45 | dmg: 5.33~18.33, OL 3.0 | ceil: 26.0
faust_l_corp_ut4 (adverse) | clash: 5.5~14.03 | dmg: 7.83~21.83, OL 3.0 | ceil: 21.0
ryoshu_chef_ut4 (adverse) | clash: 5.39~14.02 | dmg: 9.0~28.5, OL 3.0 | ceil: 19.0
rodion_kurokumo_ut4 (adverse) | clash: 6.78~13.94 | dmg: 7.67~18.17, OL 2.0 | ceil: 25.67
don_quixote_cinq_ut4 (adverse) | clash: 6.6~13.93 | dmg: 9.33~21.83, OL 4.0 | ceil: 19.33
yi_sang_blade_ut4 (adverse) | clash: 8.7~13.88 | dmg: 11.67~19.17, OL 5.0 | ceil: 15.67
ryoshu_kurokumo_ut4 (adverse) | clash: 6.99~13.79 | dmg: 8.5~18.5, OL 3.0 | ceil: 17.0
outis_seven_ut4 (adverse) | clash: 8.1~13.69 | dmg: 9.33~18.33, OL 0.0 | ceil: 17.0
ishmael_boat_ut4 (adverse) | clash: 5.97~13.68 | dmg: 8.83~23.33, OL 3.33 | ceil: 19.67
gregor_g_corp_ut4 (adverse) | clash: 6.86~13.62 | dmg: 8.67~19.83, OL 5.0 | ceil: 17.67
yi_sang_spicebush_ut4 (adverse) | clash: 5.82~13.57 | dmg: 11.5~29.5, OL 3.5 | ceil: 19.67
faust_n_corp_ut4 (adverse) | clash: 6.34~13.28 | dmg: 11.0~25.5, OL 4.0 | ceil: 17.33
don_quixote_w_corp_ut4 (adverse) | clash: 5.71~13.25 | dmg: 7.33~23.33, OL 3.0 | ceil: 17.0
sinclair_blade_ut4 (adverse) | clash: 6.98~13.16 | dmg: 12.33~22.33, OL 2.0 | ceil: 26.67
hong_lu_k_corp_ut4 (adverse) | clash: 6.32~13.12 | dmg: 9.17~19.17, OL 0.0 | ceil: 16.0
ishmael_lcb_ut4 (adverse) | clash: 5.43~13.07 | dmg: 5.33~13.83, OL -1.0 | ceil: 19.67
ishmael_liu_ut4 (adverse) | clash: 5.3~13.07 | dmg: 10.0~27.5, OL 2.0 | ceil: 16.67
don_quixote_lcb_ut4 (adverse) | clash: 5.01~13.05 | dmg: 4.83~15.33, OL 2.0 | ceil: 16.67
don_quixote_n_corp_ut4 (adverse) | clash: 4.63~13.03 | dmg: 6.83~19.83, OL 1.0 | ceil: 16.33
outis_lcb_ut4 (adverse) | clash: 5.92~12.94 | dmg: 9.0~21.33, OL 3.0 | ceil: 22.0
outis_g_corp_ut4 (adverse) | clash: 4.78~12.88 | dmg: 4.67~13.67, OL -1.0 | ceil: 21.67
gregor_rosespanner_ut4 (adverse) | clash: 4.46~12.87 | dmg: 6.33~19.33, OL 1.0 | ceil: 16.33
ryoshu_lcb_ut4 (adverse) | clash: 5.39~12.76 | dmg: 7.17~18.67, OL 2.0 | ceil: 14.67
heathcliff_shi_ut4 (adverse) | clash: 5.3~12.75 | dmg: 5.33~14.67, OL 1.0 | ceil: 17.33
ishmael_shi_ut4 (adverse) | clash: 5.13~12.74 | dmg: 8.33~21.33, OL 1.0 | ceil: 18.33
rodion_rosespanner_ut4 (adverse) | clash: 6.38~12.49 | dmg: 10.5~22.0, OL 3.0 | ceil: 18.0
heathcliff_r_corp_ut4 (adverse) | clash: 6.25~12.49 | dmg: 13.83~31.5, OL 5.0 | ceil: 14.67
faust_w_corp_ut4 (adverse) | clash: 5.2~12.43 | dmg: 8.0~19.0, OL -1.0 | ceil: 14.67
heathcliff_n_corp_ut4 (adverse) | clash: 4.77~12.41 | dmg: 7.0~19.67, OL 0.0 | ceil: 16.0
yi_sang_seven_ut4 (adverse) | clash: 5.51~12.29 | dmg: 8.33~18.83, OL 0.0 | ceil: 14.0
ishmael_l_corp_ut4 (adverse) | clash: 4.81~12.25 | dmg: 6.33~16.0, OL -1.0 | ceil: 21.67
hong_lu_lcb_ut4 (adverse) | clash: 5.47~12.13 | dmg: 6.67~16.17, OL 2.0 | ceil: 14.67
