don_quixote_w_corp_ut4 (expected) | clash: 6.24~18.33 | dmg: 7.33~36.33, OL 3.0 | ceil: 32.0
hong_lu_tingtang_ut4 (expected) | clash: 6.2~17.85 | dmg: 6.33~24.5, OL 3.0 | ceil: 31.0
ishmael_r_corp_ut4 (expected) | clash: 5.65~17.04 | dmg: 7.33~28.83, OL 1.0 | ceil: 26.33
ryoshu_seven_ut4 (expected) | clash: 5.66~15.61 | dmg: 5.33~19.0, OL 3.0 | ceil: 20.0
sinclair_n_corp_ut4 (expected) | clash: 11.45~15.55 | dmg: 17.0~44.33, OL 3.67 | ceil: 31.67
yi_sang_blade_ut4 (expected) | clash: 8.82~15.46 | dmg: 11.67~21.67, OL 5.0 | ceil: 18.67
don_quixote_shi_ut4 (expected) | clash: 5.64~15.45 | dmg: 5.33~18.33, OL 3.0 | ceil: 26.0
heathcliff_r_corp_ut4 (expected) | clash: 6.59~15.35 | dmg: 13.83~39.83, OL 5.0 | ceil: 24.67
faust_l_corp_ut4 (expected) | clash: 5.24~14.64 | dmg: 7.83~23.33, OL 2.0 | ceil: 26.67
ryoshu_chef_ut4 (expected) | clash: 5.39~14.02 | dmg: 9.0~28.5, OL 3.0 | ceil: 19.0
rodion_kurokumo_ut4 (expected) | clash: 6.78~13.94 | dmg: 7.67~18.17, OL 2.0 | ceil: 25.67
don_quixote_cinq_ut4 (expected) | clash: 6.6~13.93 | dmg: 9.33~21.83, OL 4.0 | ceil: 19.33
ryoshu_kurokumo_ut4 (expected) | clash: 6.99~13.79 | dmg: 8.5~18.5, OL 3.0 | ceil: 17.0
hong_lu_k_corp_ut4 (expected) | clash: 6.37~13.76 | dmg: 9.17~20.17, OL 0.0 | ceil: 20.0
outis_seven_ut4 (expected) | clash: 8.1~13.69 | dmg: 9.33~18.33, OL 0.0 | ceil: 17.0
ishmael_boat_ut4 (expected) | clash: 5.97~13.68 | dmg: 8.83~23.33, OL 3.33 | ceil: 19.67
gregor_g_corp_ut4 (expected) | clash: 6.86~13.62 | dmg: 8.67~19.83, OL 5.0 | ceil: 17.67
yi_sang_spicebush_ut4 (expected) | clash: 5.66~13.4 | dmg: 11.5~29.5, OL 3.0 | ceil: 19.67
sinclair_blade_ut4 (expected) | clash: 6.98~13.16 | dmg: 12.33~22.33, OL 2.0 | ceil: 26.67
ishmael_lcb_ut4 (expected) | clash: 5.43~13.07 | dmg: 5.33~13.83, OL -1.0 | ceil: 19.67
ishmael_liu_ut4 (expected) | clash: 5.3~13.07 | dmg: 10.0~27.5, OL 2.0 | ceil: 16.67
hong_lu_lcb_ut4 (expected) | clash: 5.23~13.06 | dmg: 6.67~18.17, OL 1.0 | ceil: 18.33
don_quixote_n_corp_ut4 (expected) | clash: 4.63~13.03 | dmg: 6.83~19.83, OL 1.0 | ceil: 16.33
outis_g_corp_ut4 (expected) | clash: 4.78~12.88 | dmg: 4.67~13.67, OL -1.0 | ceil: 21.67
gregor_rosespanner_ut4 (expected) | clash: 4.46~12.87 | dmg: 6.33~19.33, OL 1.0 | ceil: 16.33
faust_w_corp_ut4 (expected) | clash: 5.53~12.76 | dmg: 9.0~20.0, OL -1.0 | ceil: 16.67
ryoshu_lcb_ut4 (expected) | clash: 5.39~12.76 | dmg: 7.17~18.67, OL 2.0 | ceil: 14.67
heathcliff_shi_ut4 (expected) | clash: 5.3~12.75 | dmg: 5.33~14.67, OL 1.0 | ceil: 17.33
ishmael_shi_ut4 (expected) | clash: 5.13~12.74 | dmg: 8.33~21.33, OL 1.0 | ceil: 18.33
don_quixote_lcb_ut4 (expected) | clash: 4.68~12.72 | dmg: 4.83~15.33, OL 1.0 | ceil: 16.33
faust_n_corp_ut4 (expected) | clash: 5.68~12.61 | dmg: 11.0~25.5, OL 2.0 | ceil: 16.67
meursault_w_corp_ut4 (expected) | clash: 5.64~12.61 | dmg: 10.83~24.83, OL 0.0 | ceil: 17.0
outis_lcb_ut4 (expected) | clash: 5.58~12.61 | dmg: 9.0~21.33, OL 2.0 | ceil: 21.67
rodion_rosespanner_ut4 (expected) | clash: 6.38~12.49 | dmg: 14.5~33.0, OL 3.0 | ceil: 18.0
heathcliff_n_corp_ut4 (expected) | clash: 4.77~12.41 | dmg: 7.0~19.67, OL 0.0 | ceil: 16.0
yi_sang_seven_ut4 (expected) | clash: 5.51~12.29 | dmg: 8.33~18.83, OL 0.0 | ceil: 14.0
gregor_lcb_ut4 (expected) | clash: 4.77~12.09 | dmg: 5.67~14.5, OL -1.0 | ceil: 14.67
rodion_lccb_ut4 (expected) | clash: 7.32~12.07 | dmg: 8.83~15.33, OL 4.0 | ceil: 18.33
meursault_r_corp_ut4 (expected) | clash: 5.23~11.8 | dmg: 11.0~23.0, OL -3.0 | ceil: 14.0
sinclair_l_corp_ut4 (expected) | clash: 5.21~11.8 | dmg: 8.17~19.67, OL 0.0 | ceil: 17.0
outis_blade_ut4 (expected) | clash: 5.44~11.65 | dmg: 7.33~16.33, OL 1.0 | ceil: 14.33
hong_lu_kurokumo_ut4 (expected) | clash: 5.29~11.65 | dmg: 12.17~31.0, OL 0.0 | ceil: 13.0
ishmael_l_corp_ut4 (expected) | clash: 4.14~11.59 | dmg: 6.33~16.0, OL -3.0 | ceil: 21.0
meursault_liu_ut4 (expected) | clash: 5.52~11.5 | dmg: 10.17~21.17, OL 1.0 | ceil: 14.33
sinclair_lcb_ut4 (expected) | clash: 5.33~11.49 | dmg: 8.5~19.0, OL 2.0 | ceil: 14.67
meursault_rosespanner_ut4 (expected) | clash: 5.15~11.32 | dmg: 8.0~18.33, OL 1.0 | ceil: 13.33
hong_lu_liu_ut4 (expected) | clash: 4.87~11.31 | dmg: 8.67~19.67, OL 0.0 | ceil: 17.0
rodion_n_corp_ut4 (expected) | clash: 5.36~11.18 | dmg: 9.67~21.0, OL 2.0 | ceil: 12.67
heathcliff_sunshower_ut4 (expected) | clash: 8.17~11.17 | dmg: 12.83~35.33, OL 2.5 | ceil: 19.0
yi_sang_lcb_ut4 (expected) | clash: 4.79~11.15 | dmg: 7.67~17.17, OL 0.0 | ceil: 12.0
rodion_lcb_ut4 (expected) | clash: 4.51~11.13 | dmg: 7.33~18.17, OL 0.0 | ceil: 12.0
meursault_lcb_ut4 (expected) | clash: 3.75~11.09 | dmg: 7.67~20.0, OL -3.0 | ceil: 14.0
sinclair_boat_ut3 (expected) | clash: 3.89~10.94 | dmg: 6.67~18.67, OL 1.0 | ceil: 16.33
gregor_liu_ut4 (expected) | clash: 6.14~10.74 | dmg: 11.67~22.0, OL 4.0 | ceil: 13.33
sinclair_zwei_ut4 (expected) | clash: 4.86~10.68 | dmg: 7.17~14.33, OL -2.0 | ceil: 19.33
faust_lcb_ut4 (expected) | clash: 4.58~10.66 | dmg: 7.67~16.17, OL -2.0 | ceil: 12.33
ishmael_lccb_ut4 (expected) | clash: 4.23~10.64 | dmg: 8.67~21.0, OL -1.0 | ceil: 12.67
heathcliff_lcb_ut4 (expected) | clash: 3.35~10.6 | dmg: 5.5~16.0, OL -2.0 | ceil: 15.33
gregor_chef_ut4 (expected) | clash: 5.68~10.4 | dmg: 9.33~16.67, OL 1.5 | ceil: 14.0
