s3 sinclair_n_corp_ut4 | self_destructive_purge | clash: 22.3~33.66 | dmg: 28~96, OL 5 | ceil: 33.67
s3 don_quixote_w_corp_ut4 | rip_space | clash: 5.51~30.62 | dmg: 5~95, OL 3 | ceil: 32.0
s3 don_quixote_shi_ut4 | overbreathe | clash: 11.05~29.95 | dmg: 9~30, OL 3 | ceil: 31.0
s3 hong_lu_tingtang_ut4 | mutilate | clash: 7.25~29.75 | dmg: 5~60, OL 3 | ceil: 31.0
s3 sinclair_blade_ut4 | to_claim_their_bones | clash: 11.57~27.77 | dmg: 10~28, OL 2 | ceil: 28.67
s3 ishmael_r_corp_ut4 | mind_whip | clash: 5.89~26.21 | dmg: 12~72, OL 1 | ceil: 27.33
s3 faust_l_corp_ut4 | opportunistic_slash | clash: 6.26~25.59 | dmg: 8~41, OL 2 | ceil: 26.67
s3 rodion_kurokumo_ut4 | sky_clearing_cut | clash: 8.57~24.77 | dmg: 7~25, OL 2 | ceil: 25.67
s3 heathcliff_r_corp_ut4 | quick_suppression | clash: 8.0~24.75 | dmg: 20~80, OL 5 | ceil: 25.67
s3 ishmael_boat_ut4 | risky_judgement | clash: 6.59~24.66 | dmg: 9~51, OL 5 | ceil: 25.67
s2 ishmael_liu_ut4 | frontal_assault | clash: 6.59~24.66 | dmg: 12~54, OL 2 | ceil: 25.67
s3 yi_sang_blade_ut4 | flank_thrust | clash: 11.04~23.95 | dmg: 24~54, OL 5 | ceil: 24.67
s3 don_quixote_cinq_ut4 | salut | clash: 7.64~23.45 | dmg: 12~39, OL 1 | ceil: 24.33
s3 outis_g_corp_ut4 | focus | clash: 7.47~21.87 | dmg: 7~23, OL -1 | ceil: 22.67
s3 outis_lcb_ut4 | piercing_thrust | clash: 8.37~20.97 | dmg: 7~21, OL 2 | ceil: 21.67
s2 ryoshu_seven_ut4 | upper_slash | clash: 7.7~20.3 | dmg: 6~20, OL 3 | ceil: 21.0
s3 ryoshu_seven_ut4 | swash | clash: 7.37~20.28 | dmg: 15~45, OL 3 | ceil: 21.0
s3 ishmael_l_corp_ut4 | corrosive_splash | clash: 5.8~20.2 | dmg: 6~22, OL -3 | ceil: 21.0
s3 don_quixote_lcb_ut4 | for_justice | clash: 6.71~19.62 | dmg: 15~45, OL 1 | ceil: 20.33
s3 outis_seven_ut4 | exploit_the_gap | clash: 9.1~19.43 | dmg: 18~42, OL 0 | ceil: 20.0
s3 hong_lu_k_corp_ut4 | excise_target | clash: 8.87~19.41 | dmg: 16~34, OL 0 | ceil: 20.0
s2 sinclair_n_corp_ut4 | amoral_enactment | clash: 15.54~19.33 | dmg: 32~72, OL 4 | ceil: 19.33
s2 don_quixote_w_corp_ut4 | leap | clash: 6.37~19.28 | dmg: 12~42, OL 3 | ceil: 20.0
s3 yi_sang_spicebush_ut4 | bloodsteeped_scent | clash: 8.77~19.09 | dmg: 18~42, OL 5 | ceil: 19.67
s3 ishmael_lcb_ut4 | shield_bash | clash: 8.27~19.07 | dmg: 8~20, OL -1 | ceil: 19.67
s3 heathcliff_sunshower_ut4 | spread_out | clash: 12.37~19.0 | dmg: 15~54, OL 3 | ceil: 19.0
s3 ishmael_liu_ut4 | inner_gate_elbow_strike | clash: 5.37~18.92 | dmg: 12~52, OL 2 | ceil: 19.67
s3 heathcliff_shi_ut4 | flashing_strike | clash: 8.2~18.75 | dmg: 14~32, OL 1 | ceil: 19.33
s2 ishmael_r_corp_ut4 | flaying_surge | clash: 7.93~18.73 | dmg: 7~19, OL 1 | ceil: 19.33
s3 sinclair_zwei_ut4 | strong_strike | clash: 6.98~18.68 | dmg: 7~20, OL -2 | ceil: 19.33
s3 hong_lu_liu_ut4 | crimson_blaze_fist | clash: 6.02~18.32 | dmg: 10~31, OL 0 | ceil: 19.0
s2 hong_lu_tingtang_ut4 | jag | clash: 5.37~18.28 | dmg: 12~62, OL 3 | ceil: 19.0
s2 ryoshu_chef_ut4 | ingredient_hunt | clash: 5.37~18.28 | dmg: 9~39, OL 3 | ceil: 19.0
s2 yi_sang_blade_ut4 | heel_turn | clash: 9.39~18.18 | dmg: 14~29, OL 5 | ceil: 18.67
s2 heathcliff_r_corp_ut4 | concentrated_fire | clash: 7.94~18.1 | dmg: 20~50, OL 5 | ceil: 18.67
s3 rodion_lccb_ut4 | suppress | clash: 9.06~17.85 | dmg: 14~29, OL 4 | ceil: 18.33
s3 ishmael_shi_ut4 | catch_breath | clash: 7.2~17.75 | dmg: 12~30, OL 1 | ceil: 18.33
s3 hong_lu_lcb_ut4 | whirlwind | clash: 7.2~17.75 | dmg: 12~30, OL 1 | ceil: 18.33
s2 don_quixote_lcb_ut4 | galloping_tilt | clash: 6.93~17.73 | dmg: 6~18, OL 1 | ceil: 18.33
s3 sinclair_mariachi_ut4 | pinata_party | clash: 7.55~17.45 | dmg: 8~19, OL -3 | ceil: 18.0
s3 rodion_rosespanner_ut4 | lets_rack_up_some_scores | clash: 7.1~17.43 | dmg: 15~39, OL 3 | ceil: 18.0
s2 gregor_g_corp_ut4 | dismember | clash: 8.17~17.17 | dmg: 6~16, OL 5 | ceil: 17.67
s1 yi_sang_blade_ut4 | strikers_stance | clash: 8.17~17.17 | dmg: 6~16, OL 5 | ceil: 17.67
s3 gregor_g_corp_ut4 | eviscerate | clash: 6.94~17.1 | dmg: 16~46, OL 5 | ceil: 17.67
s2 heathcliff_shi_ut4 | flying_sword | clash: 7.83~16.83 | dmg: 7~17, OL 1 | ceil: 17.33
s3 meursault_rosespanner_ut4 | finishing_runup | clash: 6.61~16.77 | dmg: 16~46, OL 1 | ceil: 17.33
s3 meursault_liu_ut4 | perfected_death_fist | clash: 6.43~16.76 | dmg: 15~39, OL 1 | ceil: 17.33
s3 ryoshu_kurokumo_ut4 | lenticular_swirl | clash: 9.58~16.61 | dmg: 16~28, OL 3 | ceil: 17.0
s2 outis_seven_ut4 | field_command | clash: 7.73~16.51 | dmg: 10~25, OL 0 | ceil: 17.0
s2 gregor_chef_ut4 | you_fresh_enough | clash: 6.55~16.45 | dmg: 6~17, OL 0 | ceil: 17.0
s3 meursault_w_corp_ut4 | energy_current | clash: 6.28~16.44 | dmg: 20~50, OL 0 | ceil: 17.0
s3 heathcliff_n_corp_ut4 | infirm_retribution | clash: 6.1~16.43 | dmg: 15~39, OL 0 | ceil: 17.0
s3 sinclair_l_corp_ut4 | rupturing_talisman | clash: 5.87~16.41 | dmg: 10~28, OL 0 | ceil: 17.0
s2 don_quixote_shi_ut4 | dual_strike | clash: 5.87~16.41 | dmg: 8~26, OL 3 | ceil: 17.0
s3 faust_w_corp_ut4 | overcharge | clash: 8.49~16.24 | dmg: 18~36, OL -1 | ceil: 16.67
s2 rodion_kurokumo_ut4 | scattering_slash | clash: 7.39~16.18 | dmg: 12~27, OL 2 | ceil: 16.67
s2 faust_n_corp_ut4 | the_gripping | clash: 5.77~16.09 | dmg: 12~36, OL 2 | ceil: 16.67
s2 yi_sang_spicebush_ut4 | moments_floral_breeze | clash: 5.77~16.09 | dmg: 12~36, OL 2 | ceil: 16.67
s1 ishmael_liu_ut4 | red_kick | clash: 5.54~16.08 | dmg: 8~26, OL 2 | ceil: 16.67
s2 heathcliff_sunshower_ut4 | puddle_stomp | clash: 13.16~16.0 | dmg: 30~60, OL 3 | ceil: 16.0
s3 outis_blade_ut4 | decisive_dive | clash: 8.91~15.94 | dmg: 16~28, OL 1 | ceil: 16.33
s2 gregor_liu_ut4 | rush_down | clash: 8.16~15.9 | dmg: 18~36, OL 4 | ceil: 16.33
s3 gregor_rosespanner_ut4 | lets_grind_em | clash: 5.43~15.76 | dmg: 12~36, OL 1 | ceil: 16.33
s3 rodion_zwei_ut4 | subdue_threat | clash: 5.43~15.76 | dmg: 15~39, OL -2 | ceil: 16.33
s2 don_quixote_n_corp_ut4 | enactment | clash: 4.93~15.73 | dmg: 4~16, OL 1 | ceil: 16.33
s2 gregor_rosespanner_ut4 | grease_chains | clash: 4.93~15.73 | dmg: 4~16, OL 1 | ceil: 16.33
s3 yi_sang_seven_ut4 | moulinet | clash: 7.82~15.57 | dmg: 15~33, OL 0 | ceil: 16.0
s2 hong_lu_k_corp_ut4 | decay_blade | clash: 6.73~15.51 | dmg: 12~27, OL 0 | ceil: 16.0
s2 ishmael_boat_ut4 | explosive_blast | clash: 6.73~15.51 | dmg: 10~25, OL 3 | ceil: 16.0
s2 ryoshu_kurokumo_ut4 | clean_up | clash: 6.73~15.51 | dmg: 10~25, OL 3 | ceil: 16.0
s3 ryoshu_chef_ut4 | i_can_cook_anything | clash: 5.28~15.44 | dmg: 92~122, OL 3 | ceil: 16.0
s3 sinclair_lcb_ut4 | ravaging_cut | clash: 7.49~15.24 | dmg: 18~36, OL 2 | ceil: 15.67
s2 outis_g_corp_ut4 | onslaught_command | clash: 6.17~15.17 | dmg: 6~16, OL -1 | ceil: 15.67
s3 ishmael_lccb_ut4 | suppress | clash: 4.94~15.1 | dmg: 16~46, OL -1 | ceil: 15.67
s2 meursault_rosespanner_ut4 | forced_break | clash: 7.91~14.94 | dmg: 12~24, OL 1 | ceil: 15.33
s2 don_quixote_cinq_ut4 | fleche | clash: 6.06~14.85 | dmg: 10~25, OL 1 | ceil: 15.33
s1 ishmael_r_corp_ut4 | mind_strike | clash: 6.06~14.85 | dmg: 10~25, OL 1 | ceil: 15.33
s1 don_quixote_cinq_ut4 | remise | clash: 6.06~14.85 | dmg: 8~23, OL 4 | ceil: 15.33
s3 heathcliff_lcb_ut4 | upheaval | clash: 4.2~14.75 | dmg: 8~26, OL -2 | ceil: 15.33
s2 yi_sang_seven_ut4 | riposte | clash: 7.58~14.61 | dmg: 10~22, OL 0 | ceil: 15.0
s2 heathcliff_n_corp_ut4 | purify | clash: 7.4~14.6 | dmg: 7~15, OL 0 | ceil: 15.0
s2 sinclair_blade_ut4 | slash_series | clash: 9.22~14.38 | dmg: 24~36, OL 2 | ceil: 14.67
s2 faust_l_corp_ut4 | deep_cuts | clash: 6.49~14.24 | dmg: 15~33, OL 2 | ceil: 14.67
s3 ryoshu_lcb_ut4 | brushstroke | clash: 6.49~14.24 | dmg: 15~33, OL 2 | ceil: 14.67
s2 ishmael_lcb_ut4 | slide | clash: 6.12~14.22 | dmg: 6~15, OL -1 | ceil: 14.67
s2 ryoshu_lcb_ut4 | splatter | clash: 5.39~14.18 | dmg: 8~23, OL 2 | ceil: 14.67
s2 gregor_lcb_ut4 | jag | clash: 5.17~14.17 | dmg: 5~15, OL -1 | ceil: 14.67
s3 gregor_liu_ut4 | perfected_palm_strike | clash: 7.18~13.96 | dmg: 20~40, OL 4 | ceil: 14.33
s1 rodion_lccb_ut4 | bludgeon | clash: 6.73~13.93 | dmg: 5~13, OL 4 | ceil: 14.33
s3 don_quixote_n_corp_ut4 | fanatical_judgement | clash: 6.16~13.9 | dmg: 15~33, OL 1 | ceil: 14.33
s2 hong_lu_lcb_ut4 | dual_strike | clash: 5.06~13.85 | dmg: 8~23, OL 1 | ceil: 14.33
s3 meursault_n_corp_ut4 | annihilate_heretics | clash: 8.44~13.71 | dmg: 16~25, OL 0 | ceil: 14.0
s1 yi_sang_seven_ut4 | fleche | clash: 7.35~13.65 | dmg: 5~12, OL 0 | ceil: 14.0
s3 gregor_chef_ut4 | butcher_viand | clash: 6.85~13.63 | dmg: 20~40, OL 3 | ceil: 14.0
s2 hong_lu_liu_ut4 | flowing_flame | clash: 6.58~13.61 | dmg: 12~24, OL 0 | ceil: 14.0
s1 hong_lu_tingtang_ut4 | throat_slit | clash: 6.4~13.6 | dmg: 5~13, OL 3 | ceil: 14.0
s1 don_quixote_w_corp_ut4 | rip | clash: 6.4~13.6 | dmg: 5~13, OL 3 | ceil: 14.0
s1 ryoshu_seven_ut4 | slash | clash: 6.4~13.6 | dmg: 5~13, OL 3 | ceil: 14.0
s3 meursault_r_corp_ut4 | rhino_ram | clash: 5.82~13.57 | dmg: 18~36, OL -3 | ceil: 14.0
