s0 heathcliff_r_corp | graze_the_grass | agg: 11.91 | raw: 28.62 | var: 0.43
s0 ishmael_r_corp | mind_strike | agg: 11.91 | raw: 20.37 | var: 0.74
s0 yi_sang_blade | strikers_stance | agg: 11.9 | raw: 11.66 | var: 0.45
s0 don_quixote_w_corp | rip | agg: 11.3 | raw: 11.33 | var: 0.48
s0 hong_lu_tingtang | throat_slit | agg: 11.3 | raw: 11.33 | var: 0.48
s0 ryoshu_kurokumo | focus_strike | agg: 11.3 | raw: 11.33 | var: 0.48
s0 outis_seven | predictive_analysis | agg: 11.2 | raw: 11.64 | var: 0.32
s0 rodion_n_corp | devoted_hammering | agg: 11.01 | raw: 18.36 | var: 0.64
s0 gregor_g_corp | hack | agg: 10.91 | raw: 18.02 | var: 0.48
s0 rodion_clearance | bludgeon | agg: 10.7 | raw: 10.5 | var: 0.5
s0 rodion_kurokumo | sharpened_blade | agg: 10.7 | raw: 11.0 | var: 0.5
s0 ryoshu_seven | slash | agg: 10.7 | raw: 10.5 | var: 0.5
s0 faust_n_corp | cackle | agg: 10.51 | raw: 17.68 | var: 0.5
s0 ishmael_shi | flying_sword | agg: 10.41 | raw: 17.82 | var: 0.68
s0 meursault_liu | assault | agg: 10.41 | raw: 17.82 | var: 0.68
s0 ryoshu_chef | perfect_cut | agg: 10.31 | raw: 17.51 | var: 0.51
s0 sinclair_lcb | downward_swing | agg: 10.25 | raw: 10.3 | var: 0.61
s0 lcb_sinclair_minus | downward_swing | agg: 10.25 | raw: 10.3 | var: 0.61
s0 heathcliff_n_corp | gawky_nailing | agg: 10.21 | raw: 17.64 | var: 0.69
s0 hong_lu_liu | warm_up | agg: 10.21 | raw: 17.64 | var: 0.69
s0 don_quixote_shi | catch_breath | agg: 10.1 | raw: 10.2 | var: 0.53
s0 don_quixote_lcb | joust | agg: 9.85 | raw: 10.1 | var: 0.64
s0 hong_lu_lcb | downward_cleave | agg: 9.85 | raw: 10.1 | var: 0.64
s0 ryoshu_lcb | paint | agg: 9.85 | raw: 10.1 | var: 0.64
s0 meursault_w_corp | rip | agg: 9.7 | raw: 10.45 | var: 0.56
s0 heathcliff_shi | extreme_edge | agg: 9.5 | raw: 9.9 | var: 0.57
s0 outis_blade | draw_of_the_sword | agg: 9.5 | raw: 9.9 | var: 0.57
s0 outis_lcb | pulled_blade | agg: 9.31 | raw: 21.63 | var: 0.55
s0 heathcliff_lcb | bat_bash | agg: 9.25 | raw: 9.8 | var: 0.68
s0 rodion_lcb | strike_down | agg: 9.25 | raw: 9.8 | var: 0.68
s0 faust_l_corp | sole_strike | agg: 9.1 | raw: 9.18 | var: 0.59
s0 hong_lu_kurokumo | cleave | agg: 9.1 | raw: 9.7 | var: 0.59
s0 yi_sang_seven | fleche | agg: 9.1 | raw: 9.7 | var: 0.59
s0 gregor_lcb | swipe | agg: 8.85 | raw: 9.6 | var: 0.71
s0 ishmael_lcb | loggerhead | agg: 8.85 | raw: 9.6 | var: 0.71
s0 gregor_liu | single_point_stab | agg: 8.8 | raw: 14.7 | var: 0.4
s0 faust_w_corp | energy_cycle | agg: 8.5 | raw: 9.4 | var: 0.64
s0 ishmael_clearance | shove | agg: 8.5 | raw: 9.4 | var: 0.64
s0 outis_g_corp | order | agg: 8.5 | raw: 9.4 | var: 0.64
s0 sinclair_zwei | baton | agg: 8.5 | raw: 9.4 | var: 0.64
s0 faust_lcb | downward_slash | agg: 8.25 | raw: 9.3 | var: 0.76
s0 yi_sang_lcb | deflect | agg: 8.25 | raw: 9.3 | var: 0.76
s0 meursault_lcb | un_deux | agg: 7.81 | raw: 14.56 | var: 0.9
s0 gregor_chef | keep_it_fresh | agg: 7.6 | raw: 13.86 | var: 0.46
s0 sinclair_blade | slice_then_stab | agg: 6.9 | raw: 13.0 | var: 0.25
s0 meursault_n_corp | drive | agg: 6.3 | raw: 12.61 | var: 0.28
s0 sinclair_mariachi | baile_y_rola | agg: 6.2 | raw: 12.88 | var: 0.57
