s1 hong_lu_tingtang | shank | agg: 17.88 | raw: 39 (38) | var: 0.77
s1 ryoshu_chef | ingredient_hunt | agg: 17.88 | raw: 39 (38) | var: 0.77
s1 heathcliff_r_corp | concentrated_fire | agg: 17.64 | raw: 50 (41) | var: 0.6
s1 sinclair_n_corp | amoral_enactment | agg: 16.8 | raw: 64 (39) | var: 0.62
s1 gregor_g_corp | dismember | agg: 16.7 | raw: 16 (41) | var: 0.62
s1 ryoshu_seven | upper_slash | agg: 16.4 | raw: 16 (40) | var: 0.75
s1 faust_n_corp | the_gripping | agg: 16.23 | raw: 36 (39) | var: 0.67
s1 don_quixote_w_corp | leap | agg: 16.03 | raw: 36 (38) | var: 0.67
s1 outis_seven | field_command | agg: 15.91 | raw: 29 (32) | var: 0.52
s1 don_quixote_shi | dual_strike | agg: 15.81 | raw: 26 (37) | var: 0.69
s1 don_quixote_n_corp | enactment | agg: 15.2 | raw: 16 (34) | var: 0.75
s1 ryoshu_kurokumo | clean_up | agg: 15.11 | raw: 25 (38) | var: 0.6
s1 ishmael_r_corp | flaying_surge | agg: 14.9 | raw: 16 (32) | var: 0.62
s1 heathcliff_shi | flying_sword | agg: 14.3 | raw: 15 (34) | var: 0.67
s1 hong_lu_lcb | dual_strike | agg: 13.71 | raw: 23 (36) | var: 0.65
s1 don_quixote_lcb | galloping_tilt | agg: 13.7 | raw: 14 (36) | var: 0.71
s1 outis_g_corp | onslaught_command | agg: 13.3 | raw: 15 (29) | var: 0.67
s1 heathcliff_n_corp | purify | agg: 13.2 | raw: 14 (33) | var: 0.57
s1 gregor_chef | you_fresh_enough | agg: 13.0 | raw: 14 (32) | var: 0.57
s1 faust_l_corp | deep_cuts | agg: 12.97 | raw: 30 (37) | var: 0.6
s1 gregor_lcb | jag | agg: 12.7 | raw: 14 (31) | var: 0.71
s1 ishmael_shi | flashing_slide | agg: 12.41 | raw: 22 (34) | var: 0.55
s1 outis_blade | acupuncture | agg: 12.41 | raw: 22 (34) | var: 0.55
s1 outis_lcb | backslash | agg: 12.21 | raw: 20 (38) | var: 0.6
s1 hong_lu_kurokumo | cloud_cutter | agg: 12.01 | raw: 22 (32) | var: 0.55
s1 ryoshu_lcb | splatter | agg: 11.81 | raw: 20 (36) | var: 0.6
s1 ishmael_lcb | slide | agg: 11.8 | raw: 13 (31) | var: 0.62
s1 rodion_kurokumo | scattering_slash | agg: 11.71 | raw: 21 (35) | var: 0.43
s1 faust_w_corp | leap | agg: 11.41 | raw: 22 (29) | var: 0.55
s1 ishmael_clearance | quake_rounds | agg: 11.37 | raw: 30 (29) | var: 0.6
s1 heathcliff_lcb | smackdown | agg: 11.21 | raw: 20 (33) | var: 0.6
s1 rodion_lcb | axe_combo | agg: 11.21 | raw: 20 (33) | var: 0.6
s1 meursault_n_corp | you_are_cleansed_of_sin | agg: 11.11 | raw: 21 (32) | var: 0.43
s1 meursault_lcb | nailing_fist | agg: 10.8 | raw: 13 (26) | var: 0.62
s1 sinclair_lcb | halberd_combo | agg: 10.31 | raw: 24 (38) | var: 0.5
s1 faust_lcb | upward_slash | agg: 10.21 | raw: 20 (28) | var: 0.6
s1 yi_sang_lcb | end_stop_stab | agg: 10.21 | raw: 20 (28) | var: 0.6
s1 rodion_n_corp | zealous_purge | agg: 10.2 | raw: 18 (37) | var: 0.33
s1 yi_sang_blade | heel_turn | agg: 10.1 | raw: 17 (41) | var: 0.18
s1 meursault_w_corp | energy_cycle | agg: 9.71 | raw: 27 (30) | var: 0.44
s1 meursault_liu | stalwart_stance | agg: 9.6 | raw: 18 (34) | var: 0.33
s1 hong_lu_liu | flowing_flame | agg: 9.4 | raw: 18 (33) | var: 0.33
s1 rodion_clearance | thrust | agg: 8.9 | raw: 15 (40) | var: 0.2
s1 gregor_liu | rush_down | agg: 8.86 | raw: 21 (40) | var: 0.29
s1 sinclair_blade | slash_series | agg: 8.86 | raw: 24 (35) | var: 0.25
s1 yi_sang_seven | riposte | agg: 8.2 | raw: 16 (32) | var: 0.38
s1 sinclair_zwei | suppress | agg: 6.7 | raw: 15 (29) | var: 0.2
s1 sinclair_mariachi | danza_de_pasion | agg: 6.26 | raw: 21 (27) | var: 0.29
