hong_lu_tingtang | agg: 17.54 | raw: 30.6 | var: 0.63
don_quixote_w_corp | agg: 16.97 | raw: 44.48 | var: 0.62
heathcliff_r_corp | agg: 16.68 | raw: 59.58 | var: 0.54
don_quixote_shi | agg: 15.24 | raw: 22.36 | var: 0.64
ishmael_r_corp | agg: 14.82 | raw: 26.96 | var: 0.7
ryoshu_seven | agg: 14.7 | raw: 23.23 | var: 0.6
ryoshu_chef | agg: 14.28 | raw: 36.7 | var: 0.63
faust_l_corp | agg: 13.89 | raw: 27.55 | var: 0.63
ryoshu_kurokumo | agg: 13.81 | raw: 23.68 | var: 0.51
gregor_g_corp | agg: 13.61 | raw: 26.45 | var: 0.51
outis_seven | agg: 13.47 | raw: 24.1 | var: 0.43
rodion_kurokumo | agg: 13.4 | raw: 19.14 | var: 0.51
faust_n_corp | agg: 13.2 | raw: 33.38 | var: 0.54
heathcliff_shi | agg: 12.76 | raw: 16.74 | var: 0.61
hong_lu_lcb | agg: 12.75 | raw: 21.22 | var: 0.64
outis_g_corp | agg: 12.72 | raw: 13.73 | var: 0.67
outis_lcb | agg: 12.59 | raw: 24.54 | var: 0.58
heathcliff_n_corp | agg: 12.37 | raw: 20.82 | var: 0.63
ishmael_shi | agg: 11.81 | raw: 22.24 | var: 0.6
ishmael_lcb | agg: 11.78 | raw: 12.93 | var: 0.65
don_quixote_lcb | agg: 11.77 | raw: 16.96 | var: 0.65
outis_blade | agg: 11.45 | raw: 18.84 | var: 0.56
yi_sang_blade | agg: 11.21 | raw: 22.46 | var: 0.29
heathcliff_lcb | agg: 11.19 | raw: 17.88 | var: 0.66
hong_lu_liu | agg: 11.05 | raw: 20.74 | var: 0.56
gregor_lcb | agg: 10.98 | raw: 13.82 | var: 0.69
rodion_clearance | agg: 10.96 | raw: 19.32 | var: 0.37
rodion_n_corp | agg: 10.89 | raw: 25.27 | var: 0.51
ryoshu_lcb | agg: 10.85 | raw: 19.71 | var: 0.59
meursault_liu | agg: 10.68 | raw: 22.41 | var: 0.53
hong_lu_kurokumo | agg: 10.67 | raw: 18.96 | var: 0.56
sinclair_blade | agg: 10.56 | raw: 21.12 | var: 0.34
sinclair_lcb | agg: 10.49 | raw: 22.96 | var: 0.54
gregor_chef | agg: 10.12 | raw: 18.31 | var: 0.48
faust_w_corp | agg: 10.07 | raw: 17.31 | var: 0.6
ishmael_clearance | agg: 10.03 | raw: 21.13 | var: 0.66
rodion_lcb | agg: 10.03 | raw: 18.14 | var: 0.67
sinclair_zwei | agg: 9.71 | raw: 12.81 | var: 0.49
gregor_liu | agg: 9.59 | raw: 27.6 | var: 0.38
meursault_n_corp | agg: 9.59 | raw: 18.62 | var: 0.38
yi_sang_seven | agg: 9.52 | raw: 17.03 | var: 0.53
meursault_w_corp | agg: 9.33 | raw: 19.74 | var: 0.52
faust_lcb | agg: 9.06 | raw: 13.76 | var: 0.66
yi_sang_lcb | agg: 8.88 | raw: 14.71 | var: 0.65
meursault_lcb | agg: 8.65 | raw: 13.33 | var: 0.74
sinclair_mariachi | agg: 8.35 | raw: 14.57 | var: 0.51
sinclair_n_corp | agg: 8.2 | raw: 17.54 | var: 9.56
