s2 sinclair_n_corp | self_destructive_purge | agg: 30.99 | raw: 90 (40) | var: 0.8
s2 don_quixote_w_corp | rip_space | agg: 30.22 | raw: 95 (38) | var: 0.95
s2 hong_lu_tingtang | mutilate | agg: 29.35 | raw: 30 (38) | var: 0.83
s2 faust_l_corp | opportunistic_slash | agg: 25.33 | raw: 41 (37) | var: 0.8
s2 don_quixote_shi | overbreathe | agg: 24.35 | raw: 25 (37) | var: 0.84
s2 heathcliff_r_corp | quick_suppression | agg: 24.28 | raw: 80 (41) | var: 0.75
s2 rodion_kurokumo | sky_clearing_cut | agg: 22.2 | raw: 23 (35) | var: 0.7
s2 sinclair_blade | to_claim_their_bones | agg: 21.3 | raw: 22 (35) | var: 0.64
s2 ishmael_r_corp | mind_whip | agg: 20.46 | raw: 58 (32) | var: 0.86
s2 outis_g_corp | focus | agg: 20.0 | raw: 22 (29) | var: 0.73
s2 outis_lcb | piercing_thrust | agg: 19.9 | raw: 20 (38) | var: 0.7
s2 ryoshu_seven | swash | agg: 19.28 | raw: 42 (40) | var: 0.71
s2 sinclair_zwei | strong_strike | agg: 18.15 | raw: 20 (29) | var: 0.65
s1 hong_lu_tingtang | shank | agg: 17.88 | raw: 39 (38) | var: 0.77
s1 ryoshu_chef | ingredient_hunt | agg: 17.88 | raw: 39 (38) | var: 0.77
s1 heathcliff_r_corp | concentrated_fire | agg: 17.64 | raw: 50 (41) | var: 0.6
s2 ishmael_lcb | shield_bash | agg: 17.6 | raw: 19 (31) | var: 0.63
s2 sinclair_mariachi | pinata_party | agg: 16.85 | raw: 19 (27) | var: 0.58
s1 sinclair_n_corp | amoral_enactment | agg: 16.8 | raw: 64 (39) | var: 0.62
s1 gregor_g_corp | dismember | agg: 16.7 | raw: 16 (41) | var: 0.62
s2 hong_lu_lcb | whirlwind | agg: 16.61 | raw: 28 (36) | var: 0.64
s1 ryoshu_seven | upper_slash | agg: 16.4 | raw: 16 (40) | var: 0.75
s1 faust_n_corp | the_gripping | agg: 16.23 | raw: 36 (39) | var: 0.67
s2 heathcliff_shi | flashing_strike | agg: 16.21 | raw: 28 (34) | var: 0.64
s2 ryoshu_kurokumo | lenticular_swirl | agg: 16.21 | raw: 28 (38) | var: 0.43
s1 don_quixote_w_corp | leap | agg: 16.03 | raw: 36 (38) | var: 0.67
s2 hong_lu_liu | crimson_blaze_fist | agg: 16.01 | raw: 28 (33) | var: 0.64
s1 outis_seven | field_command | agg: 15.91 | raw: 29 (32) | var: 0.52
s1 don_quixote_shi | dual_strike | agg: 15.81 | raw: 26 (37) | var: 0.69
s2 rodion_clearance | suppress | agg: 15.61 | raw: 26 (40) | var: 0.46
s1 don_quixote_n_corp | enactment | agg: 15.2 | raw: 16 (34) | var: 0.75
s1 ryoshu_kurokumo | clean_up | agg: 15.11 | raw: 25 (38) | var: 0.6
s2 ryoshu_chef | i_can_cook_anything | agg: 15.04 | raw: 42 (38) | var: 0.71
s2 heathcliff_n_corp | infirm_retribution | agg: 15.03 | raw: 36 (33) | var: 0.67
s2 heathcliff_lcb | upheaval | agg: 15.01 | raw: 26 (33) | var: 0.69
s1 ishmael_r_corp | flaying_surge | agg: 14.9 | raw: 16 (32) | var: 0.62
s1 heathcliff_shi | flying_sword | agg: 14.3 | raw: 15 (34) | var: 0.67
s1 hong_lu_lcb | dual_strike | agg: 13.71 | raw: 23 (36) | var: 0.65
s1 don_quixote_lcb | galloping_tilt | agg: 13.7 | raw: 14 (36) | var: 0.71
s2 ishmael_shi | catch_breath | agg: 13.41 | raw: 24 (34) | var: 0.5
s2 outis_blade | decisive_dive | agg: 13.41 | raw: 24 (34) | var: 0.5
s2 meursault_liu | perfected_death_fist | agg: 13.37 | raw: 33 (34) | var: 0.55
s1 outis_g_corp | onslaught_command | agg: 13.3 | raw: 15 (29) | var: 0.67
s1 heathcliff_n_corp | purify | agg: 13.2 | raw: 14 (33) | var: 0.57
s2 outis_seven | exploit_the_gap | agg: 13.11 | raw: 36 (32) | var: 0.33
s2 meursault_n_corp | annihilate_heretics | agg: 13.11 | raw: 25 (32) | var: 0.36
s1 gregor_chef | you_fresh_enough | agg: 13.0 | raw: 14 (32) | var: 0.57
s1 faust_l_corp | deep_cuts | agg: 12.97 | raw: 30 (37) | var: 0.6
s2 yi_sang_seven | moulinet | agg: 12.97 | raw: 33 (32) | var: 0.55
s2 gregor_g_corp | eviscerate | agg: 12.83 | raw: 36 (41) | var: 0.56
s1 gregor_lcb | jag | agg: 12.7 | raw: 14 (31) | var: 0.71
s2 gregor_liu | perfected_palm_strike | agg: 12.63 | raw: 36 (40) | var: 0.56
s2 faust_n_corp | execution | agg: 12.51 | raw: 30 (39) | var: 0.4
s1 ishmael_shi | flashing_slide | agg: 12.41 | raw: 22 (34) | var: 0.55
s1 outis_blade | acupuncture | agg: 12.41 | raw: 22 (34) | var: 0.55
s2 don_quixote_n_corp | fanatical_judgement | agg: 12.37 | raw: 30 (34) | var: 0.6
s1 outis_lcb | backslash | agg: 12.21 | raw: 20 (38) | var: 0.6
s2 yi_sang_blade | flank_thrust | agg: 12.06 | raw: 30 (41) | var: 0.2
s2 rodion_n_corp | ironclad_retribution | agg: 12.03 | raw: 36 (37) | var: 0.56
s1 hong_lu_kurokumo | cloud_cutter | agg: 12.01 | raw: 22 (32) | var: 0.55
s0 heathcliff_r_corp | graze_the_grass | agg: 11.91 | raw: 27 (41) | var: 0.44
s0 ishmael_r_corp | mind_strike | agg: 11.91 | raw: 21 (32) | var: 0.71
s0 yi_sang_blade | strikers_stance | agg: 11.9 | raw: 11 (41) | var: 0.55
s2 gregor_lcb | chop_up | agg: 11.81 | raw: 22 (31) | var: 0.55
s1 ryoshu_lcb | splatter | agg: 11.81 | raw: 20 (36) | var: 0.6
s1 ishmael_lcb | slide | agg: 11.8 | raw: 13 (31) | var: 0.62
s2 don_quixote_lcb | for_justice | agg: 11.77 | raw: 27 (36) | var: 0.67
s1 rodion_kurokumo | scattering_slash | agg: 11.71 | raw: 21 (35) | var: 0.43
s1 faust_w_corp | leap | agg: 11.41 | raw: 22 (29) | var: 0.55
s1 ishmael_clearance | quake_rounds | agg: 11.37 | raw: 30 (29) | var: 0.6
s2 sinclair_lcb | ravaging_cut | agg: 11.31 | raw: 27 (38) | var: 0.44
s0 don_quixote_w_corp | rip | agg: 11.3 | raw: 11 (38) | var: 0.55
s0 hong_lu_tingtang | throat_slit | agg: 11.3 | raw: 11 (38) | var: 0.55
s0 ryoshu_kurokumo | focus_strike | agg: 11.3 | raw: 11 (38) | var: 0.55
s1 heathcliff_lcb | smackdown | agg: 11.21 | raw: 20 (33) | var: 0.6
s1 rodion_lcb | axe_combo | agg: 11.21 | raw: 20 (33) | var: 0.6
s0 outis_seven | predictive_analysis | agg: 11.2 | raw: 12 (32) | var: 0.33
s2 hong_lu_kurokumo | cloudburst | agg: 11.11 | raw: 30 (32) | var: 0.4
