s3 don_quixote_w_corp | rip_space | aggregate: 30.22 | variance: 0.83
s3 hong_lu_tingtang | mutilate | aggregate: 29.35 | variance: 0.77
s3 don_quixote_shi_prime | overbreathe | aggregate: 27.35 | variance: 0.69
s3 heathcliff_r_corp_prime | quick_suppression | aggregate: 25.28 | variance: 0.66
s3 faust_l_corp_prime | opportunistic_slash | aggregate: 24.62 | variance: 0.57
s3 don_quixote_shi | overbreathe | aggregate: 24.35 | variance: 0.78
s3 heathcliff_r_corp | quick_suppression | aggregate: 24.28 | variance: 0.69
s3 faust_l_corp | opportunistic_slash | aggregate: 22.62 | variance: 0.62
s3 ishmael_r_corp_prime | mind_whip | aggregate: 22.46 | variance: 0.75
s3 rodion_kurokumo | sky_clearing_cut | aggregate: 22.2 | variance: 0.65
s2 ishmael_shi_prime | flashing_slide | aggregate: 22.05 | variance: 0.61
s3 sinclair_blade | to_claim_their_bones | aggregate: 21.3 | variance: 0.59
s3 ishmael_r_corp | mind_whip | aggregate: 20.46 | variance: 0.83
s3 ryoshu_seven_prime | swash | aggregate: 20.28 | variance: 0.64
s3 outis_g_corp | focus | aggregate: 20.0 | variance: 0.72
s3 outis_lcb | piercing_thrust | aggregate: 19.9 | variance: 0.63
s3 faust_l_corp_base | opportunistic_slash | aggregate: 19.62 | variance: 0.72
s3 ishmael_lcb_prime | shield_bash | aggregate: 19.6 | variance: 0.55
s3 don_quixote_lcb_prime | for_justice | aggregate: 19.48 | variance: 0.66
s2 ryoshu_seven_prime | upper_slash | aggregate: 19.4 | variance: 0.56
s3 ryoshu_seven | swash | aggregate: 19.28 | variance: 0.67
s3 heathcliff_shi_prime | flashing_strike | aggregate: 19.21 | variance: 0.55
s2 faust_n_corp_prime | the_gripping | aggregate: 18.23 | variance: 0.57
s3 sinclair_zwei | strong_strike | aggregate: 18.15 | variance: 0.64
s2 hong_lu_tingtang | shank | aggregate: 17.88 | variance: 0.72
s3 ishmael_lcb | shield_bash | aggregate: 17.6 | variance: 0.61
s2 heathcliff_shi_prime | flying_sword | aggregate: 17.3 | variance: 0.52
s2 ishmael_r_corp_prime | flaying_surge | aggregate: 16.9 | variance: 0.53
s3 sinclair_mariachi | pinata_party | aggregate: 16.85 | variance: 0.59
s2 gregor_g_corp | dismember | aggregate: 16.7 | variance: 0.54
s3 hong_lu_lcb | whirlwind | aggregate: 16.61 | variance: 0.63
s2 ryoshu_seven | upper_slash | aggregate: 16.4 | variance: 0.66
s2 faust_n_corp | the_gripping | aggregate: 16.23 | variance: 0.64
s3 heathcliff_shi | flashing_strike | aggregate: 16.21 | variance: 0.65
s3 ryoshu_kurokumo | lenticular_swirl | aggregate: 16.21 | variance: 0.43
s2 don_quixote_w_corp | leap | aggregate: 16.03 | variance: 0.64
s2 don_quixote_w_corp_base | leap | aggregate: 16.03 | variance: 0.64
s3 heathcliff_n_corp_prime | infirm_retribution | aggregate: 16.03 | variance: 0.64
s3 heathcliff_lcb_prime | upheaval | aggregate: 16.01 | variance: 0.66
s3 hong_lu_liu | crimson_blaze_fist | aggregate: 16.01 | variance: 0.66
s2 outis_seven | field_command | aggregate: 15.91 | variance: 0.55
s2 don_quixote_shi | dual_strike | aggregate: 15.81 | variance: 0.67
s2 don_quixote_shi_prime | dual_strike | aggregate: 15.81 | variance: 0.67
s2 don_quixote_lcb_prime | galloping_tilt | aggregate: 15.7 | variance: 0.57
s3 rodion_clearance | suppress | aggregate: 15.61 | variance: 0.45
s3 ishmael_shi_prime | catch_breath | aggregate: 15.41 | variance: 0.46
s2 ryoshu_kurokumo | clean_up | aggregate: 15.11 | variance: 0.58
s3 heathcliff_n_corp | infirm_retribution | aggregate: 15.03 | variance: 0.69
s3 heathcliff_lcb | upheaval | aggregate: 15.01 | variance: 0.7
s2 faust_l_corp_prime | deep_cuts | aggregate: 14.97 | variance: 0.52
s2 ishmael_r_corp | flaying_surge | aggregate: 14.9 | variance: 0.6
s2 heathcliff_r_corp_prime | concentrated_fire | aggregate: 14.83 | variance: 0.46
s3 faust_n_corp_prime | execution | aggregate: 14.51 | variance: 0.36
s2 heathcliff_shi | flying_sword | aggregate: 14.3 | variance: 0.63
s2 heathcliff_n_corp_prime | smackdown | aggregate: 14.2 | variance: 0.51
s1 ishmael_r_corp_prime | mind_strike | aggregate: 13.91 | variance: 0.63
s2 heathcliff_r_corp | concentrated_fire | aggregate: 13.83 | variance: 0.49
s2 ishmael_lcb_prime | slide | aggregate: 13.8 | variance: 0.52
s3 heathcliff_r_corp_base | quick_suppression | aggregate: 13.74 | variance: 0.61
s2 hong_lu_lcb | dual_strike | aggregate: 13.71 | variance: 0.64
s2 don_quixote_lcb | galloping_tilt | aggregate: 13.7 | variance: 0.66
s3 gregor_liu_prime | perfected_palm_strike | aggregate: 13.63 | variance: 0.5
s2 faust_w_corp_prime | leap | aggregate: 13.41 | variance: 0.52
s3 ishmael_shi | catch_breath | aggregate: 13.41 | variance: 0.52
s3 outis_blade | decisive_dive | aggregate: 13.41 | variance: 0.52
s2 ishmael_clearance_prime | quake_rounds | aggregate: 13.37 | variance: 0.58
s3 meursault_liu | perfected_death_fist | aggregate: 13.37 | variance: 0.58
