s3 hong_lu_tingtang_prime | mutilate | agg: 9.23~53.16 | dmg: 10~85 @ 38
s3 sinclair_n_corp_prime | self_destructive_purge | agg: 20.63~31.99 | dmg: 26~93 @ 40
s3 sinclair_n_corp | self_destructive_purge | agg: 19.63~30.99 | dmg: 24~90 @ 40
s3 don_quixote_w_corp | rip_space | agg: 5.11~30.22 | dmg: 5~95 @ 38
s3 hong_lu_tingtang | mutilate | agg: 6.85~29.35 | dmg: 5~30 @ 38
s3 don_quixote_shi_prime | overbreathe | agg: 8.45~27.35 | dmg: 7~28 @ 37
s3 faust_l_corp_prime | opportunistic_slash | agg: 8.0~27.33 | dmg: 12~45 @ 37
s3 faust_l_corp | opportunistic_slash | agg: 6.0~25.33 | dmg: 8~41 @ 37
s3 heathcliff_r_corp_prime | quick_suppression | agg: 8.54~25.28 | dmg: 25~85 @ 41
s3 don_quixote_shi | overbreathe | agg: 5.45~24.35 | dmg: 4~25 @ 37
s3 heathcliff_r_corp | quick_suppression | agg: 6.54~23.28 | dmg: 15~75 @ 41
s2 hong_lu_tingtang_prime | shank | agg: 5.73~22.66 | dmg: 12~62 @ 38
s3 ishmael_r_corp_prime | mind_whip | agg: 5.53~22.46 | dmg: 16~66 @ 32
s3 rodion_kurokumo | sky_clearing_cut | agg: 7.8~22.2 | dmg: 7~23 @ 35
s2 ishmael_liu_prime | frontal_assault | agg: 6.45~21.94 | dmg: 12~48 @ 39
s2 hong_lu_tingtang_prime_partial | shank | agg: 4.73~21.66 | dmg: 8~58 @ 38
s3 sinclair_blade | to_claim_their_bones | agg: 8.7~21.3 | dmg: 8~22 @ 35
s3 ishmael_l_corp | corrosive_splash | agg: 6.4~20.8 | dmg: 6~22 @ 33
s3 ishmael_r_corp | mind_whip | agg: 3.53~20.46 | dmg: 8~58 @ 32
s3 heathcliff_sunshower_prime | spread_out | agg: 13.77~20.4 | dmg: 17~57 @ 42
s3 ryoshu_seven_prime | swash | agg: 7.37~20.28 | dmg: 15~45 @ 40
s2 ishmael_shi_prime | flashing_slide | agg: 6.5~20.05 | dmg: 20~60 @ 34
s3 outis_g_corp | focus | agg: 5.6~20.0 | dmg: 6~22 @ 29
s3 outis_lcb | piercing_thrust | agg: 7.3~19.9 | dmg: 6~20 @ 38
s2 hong_lu_kurokumo_prime | cloud_cutter | agg: 6.1~19.65 | dmg: 20~60 @ 32
s3 faust_l_corp_weak | opportunistic_slash | agg: 5.56~19.62 | dmg: 8~32 @ 37
s3 ishmael_lcb_prime | shield_bash | agg: 8.8~19.6 | dmg: 9~21 @ 31
s3 don_quixote_lcb_prime | for_justice | agg: 6.57~19.48 | dmg: 15~45 @ 36
s2 ryoshu_seven_prime | upper_slash | agg: 8.6~19.4 | dmg: 7~19 @ 40
s3 heathcliff_sunshower | spread_out | agg: 12.77~19.4 | dmg: 15~54 @ 42
s3 ryoshu_seven | swash | agg: 6.37~19.28 | dmg: 12~42 @ 40
