ishmael_shi_prime_partial | agg: 3.63~13.27 | dmg: 8.8~32.0 @ 34.0
sinclair_n_corp_prime | agg: 11.96~16.06 | dmg: 19.67~47.17 @ 38.67
hong_lu_tingtang_prime_partial | agg: 4.83~14.85 | dmg: 5.6~29.2 @ 38.0
hong_lu_kurokumo_prime_partial | agg: 3.66~12.32 | dmg: 8.2~27.8 @ 32.0
sinclair_n_corp | agg: 10.96~15.06 | dmg: 17.0~44.33 @ 38.67
heathcliff_r_corp_prime | agg: 8.12~16.88 | dmg: 21.17~47.17 @ 41.0
hong_lu_tingtang_prime | agg: 6.4~22.06 | dmg: 8.17~40.33 @ 38.0
heathcliff_r_corp | agg: 6.12~14.88 | dmg: 13.83~39.83 @ 41.0
heathcliff_sunshower_prime | agg: 9.1~12.1 | dmg: 14.67~37.33 @ 40.5
don_quixote_w_corp | agg: 5.7~16.03 | dmg: 7.33~33.33 @ 38.0
ishmael_liu_prime | agg: 5.83~17.64 | dmg: 10.0~36.17 @ 39.0
rodion_rosespanner_prime | agg: 6.26~14.0 | dmg: 14.5~33.0 @ 38.0
ishmael_shi_prime | agg: 4.92~14.12 | dmg: 11.67~33.0 @ 34.0
hong_lu_kurokumo_prime | agg: 4.88~12.95 | dmg: 11.67~30.0 @ 32.0
hong_lu_tingtang_partial | agg: 4.53~12.93 | dmg: 4.8~20.4 @ 38.0
ryoshu_chef_prime | agg: 5.66~14.29 | dmg: 11.67~31.17 @ 38.0
heathcliff_sunshower | agg: 7.43~10.43 | dmg: 9.5~31.33 @ 40.5
faust_n_corp_prime | agg: 7.81~14.75 | dmg: 16.0~30.5 @ 39.0
heathcliff_r_corp_weak | agg: 5.79~12.02 | dmg: 13.83~31.5 @ 41.0
ryoshu_chef | agg: 4.99~13.62 | dmg: 9.0~28.5 @ 38.0
yi_sang_spicebush | agg: 6.06~13.8 | dmg: 11.5~29.5 @ 42.0
ishmael_liu | agg: 5.43~13.2 | dmg: 10.0~27.5 @ 39.0
faust_l_corp_prime | agg: 6.59~15.09 | dmg: 10.5~25.0 @ 37.0
ishmael_clearance_prime | agg: 5.37~11.78 | dmg: 13.0~25.33 @ 29.0
ishmael_r_corp_prime | agg: 6.12~16.33 | dmg: 10.33~29.5 @ 32.0
hong_lu_tingtang | agg: 5.75~16.5 | dmg: 6.33~23.5 @ 38.0
faust_n_corp | agg: 5.81~12.75 | dmg: 11.0~25.5 @ 39.0
don_quixote_w_corp_weak | agg: 5.31~12.85 | dmg: 7.33~23.33 @ 38.0
