s1 ishmael_shi_prime | flashing_slide | agg: 20.05 | raw: 59.4 | var: 0.67
s1 hong_lu_kurokumo_prime | cloud_cutter | agg: 19.65 | raw: 58.2 | var: 0.67
s1 heathcliff_r_corp_prime | concentrated_fire | agg: 18.64 | raw: 57.24 | var: 0.56
s1 ishmael_shi_prime_partial | flashing_slide | agg: 19.05 | raw: 55.44 | var: 0.71
s1 hong_lu_kurokumo_prime_partial | cloud_cutter | agg: 18.65 | raw: 54.32 | var: 0.71
s1 heathcliff_r_corp | concentrated_fire | agg: 17.64 | raw: 53.0 | var: 0.6
s1 faust_n_corp_prime | the_gripping | agg: 18.23 | raw: 43.68 | var: 0.57
s1 hong_lu_tingtang | shank | agg: 17.88 | raw: 40.17 | var: 0.77
s1 ryoshu_chef | ingredient_hunt | agg: 17.88 | raw: 40.17 | var: 0.77
s1 ryoshu_chef_prime | ingredient_hunt | agg: 17.88 | raw: 40.17 | var: 0.77
s1 heathcliff_r_corp_weak | concentrated_fire | agg: 12.83 | raw: 38.16 | var: 0.56
s1 faust_n_corp | the_gripping | agg: 16.23 | raw: 37.44 | var: 0.67
s1 don_quixote_w_corp | leap | agg: 16.03 | raw: 37.08 | var: 0.67
s1 don_quixote_w_corp_weak | leap | agg: 16.03 | raw: 37.08 | var: 0.67
s1 faust_l_corp_prime | deep_cuts | agg: 14.97 | raw: 36.72 | var: 0.5
s1 ishmael_clearance_prime | quake_rounds | agg: 13.37 | raw: 33.84 | var: 0.5
s1 faust_l_corp | deep_cuts | agg: 12.97 | raw: 30.6 | var: 0.6
s1 faust_l_corp_weak | deep_cuts | agg: 12.97 | raw: 30.6 | var: 0.6
s1 ishmael_clearance | quake_rounds | agg: 11.37 | raw: 28.2 | var: 0.6
s1 outis_seven | field_command | agg: 15.91 | raw: 28.13 | var: 0.52
s1 don_quixote_shi | dual_strike | agg: 15.81 | raw: 26.52 | var: 0.69
s1 don_quixote_shi_prime | dual_strike | agg: 15.81 | raw: 26.52 | var: 0.69
s1 ryoshu_kurokumo | clean_up | agg: 15.11 | raw: 25.75 | var: 0.6
s1 meursault_w_corp | energy_cycle | agg: 9.71 | raw: 25.65 | var: 0.44
s1 gregor_liu_prime | rush_down | agg: 9.86 | raw: 25.2 | var: 0.25
s1 sinclair_lcb | halberd_combo | agg: 10.31 | raw: 24.72 | var: 0.5
s1 sinclair_n_corp | halberd_combo | agg: 10.31 | raw: 24.72 | var: 0.5
s1 faust_w_corp_prime | leap | agg: 13.41 | raw: 24.44 | var: 0.46
s1 outis_seven_weak | field_command | agg: 13.91 | raw: 24.25 | var: 0.6
s1 sinclair_blade | slash_series | agg: 8.86 | raw: 24.0 | var: 0.25
s1 hong_lu_lcb | dual_strike | agg: 13.71 | raw: 23.23 | var: 0.65
