s3 don_quixote_w_corp | rip_space | agg: 30.22 | raw: 110.74 | var: 0.92
s3 hong_lu_tingtang | mutilate | agg: 29.35 | raw: 34.58 | var: 0.82
s3 don_quixote_shi_prime | overbreathe | agg: 27.35 | raw: 31.81 | var: 0.74
s3 heathcliff_r_corp_prime | quick_suppression | agg: 25.28 | raw: 105.56 | var: 0.66
s3 faust_l_corp_prime | opportunistic_slash | agg: 24.62 | raw: 47.94 | var: 0.56
s3 don_quixote_shi | overbreathe | agg: 24.35 | raw: 28.45 | var: 0.83
s3 heathcliff_r_corp | quick_suppression | agg: 24.28 | raw: 99.76 | var: 0.7
s3 faust_l_corp | opportunistic_slash | agg: 22.62 | raw: 43.46 | var: 0.62
s3 ishmael_r_corp_prime | mind_whip | agg: 22.46 | raw: 68.05 | var: 0.79
s3 rodion_kurokumo | sky_clearing_cut | agg: 22.2 | raw: 25.3 | var: 0.7
s2 ishmael_shi_prime | flashing_slide | agg: 22.05 | raw: 73.25 | var: 0.6
s3 sinclair_blade | to_claim_their_bones | agg: 21.3 | raw: 24.2 | var: 0.64
s3 ishmael_r_corp | mind_whip | agg: 20.46 | raw: 59.49 | var: 0.9
s3 ryoshu_seven_prime | swash | agg: 20.28 | raw: 55.2 | var: 0.62
s3 outis_g_corp | focus | agg: 20.0 | raw: 21.63 | var: 0.77
s3 outis_lcb | piercing_thrust | agg: 19.9 | raw: 23.28 | var: 0.68
s2 hong_lu_kurokumo_prime | cloud_cutter | agg: 19.65 | raw: 61.63 | var: 0.69
s3 faust_l_corp_weak | opportunistic_slash | agg: 19.62 | raw: 36.74 | var: 0.73
s3 ishmael_lcb_prime | shield_bash | agg: 19.6 | raw: 21.41 | var: 0.59
s3 don_quixote_lcb_prime | for_justice | agg: 19.48 | raw: 50.62 | var: 0.66
s2 ryoshu_seven_prime | upper_slash | agg: 19.4 | raw: 23.0 | var: 0.6
s3 ryoshu_seven | swash | agg: 19.28 | raw: 51.75 | var: 0.67
s3 heathcliff_shi_prime | flashing_strike | agg: 19.21 | raw: 36.62 | var: 0.54
s3 ryoshu_chef_prime | i_can_cook_anything | agg: 19.04 | raw: 68.25 | var: 0.5
s2 heathcliff_r_corp_prime | concentrated_fire | agg: 18.64 | raw: 68.21 | var: 0.51
s2 faust_n_corp_prime | the_gripping | agg: 18.23 | raw: 50.62 | var: 0.54
s3 sinclair_zwei | strong_strike | agg: 18.15 | raw: 19.55 | var: 0.69
s2 hong_lu_tingtang | shank | agg: 17.88 | raw: 46.1 | var: 0.74
s2 ryoshu_chef | ingredient_hunt | agg: 17.88 | raw: 46.1 | var: 0.74
s2 ryoshu_chef_prime | ingredient_hunt | agg: 17.88 | raw: 46.1 | var: 0.74
s2 heathcliff_r_corp | concentrated_fire | agg: 17.64 | raw: 63.57 | var: 0.55
s3 ishmael_lcb | shield_bash | agg: 17.6 | raw: 19.29 | var: 0.66
s2 heathcliff_shi_prime | flying_sword | agg: 17.3 | raw: 19.4 | var: 0.56
s2 ishmael_r_corp_prime | flaying_surge | agg: 16.9 | raw: 18.62 | var: 0.57
s3 sinclair_mariachi | pinata_party | agg: 16.85 | raw: 17.75 | var: 0.63
s2 gregor_g_corp | dismember | agg: 16.7 | raw: 19.95 | var: 0.58
